S1 EP01 IN
S1 EP01：こっちだ　早く　|　在这边 快点
S1 EP01：そんな…　|　怎么会…
S1 EP01：いや　|　不要啊
S1 EP01：助け…　|　救救我…
S1 EP01：いや　|　不要
S1 EP01：いや　|　不要啊
S1 EP01：…ば　よかった　|　…死了多好
S1 EP01：私も死ねばよかった　|　我也一起死了多好
S1 EP01：誰も分かっていなかった　|　没有人知道为什么
S1 EP01：何も分かっていなかった　|　什么都搞不清楚
S1 EP01：本物の魔王が死んでも　|　就算真正的魔王已经死了
S1 EP01：終わりじゃなかった　|　也不代表结束了
S1 EP01：もう　もう嫌だ　|　我已经受够了
S1 EP01：ユノよりフィピケの鏃へ　|　悠诺致菲皮克之箭矢
S1 EP01：軸は第二指格子の星　|　轴为第二指格子之星
S1 EP01：爆ぜる火花　回れ　|　爆裂火花 旋转
S1 EP01：なんで　|　怎么会
S1 EP01：なんでこんなので死ぬのよ　|　怎么会这样就死了
S1 EP01：こんなのだったらリュセルス…　|　这样的话琉赛露丝…
S1 EP01：助けられたじゃない　|　我明明能救她
S1 EP01：助けられたじゃない　|　我明明能救她
S1 EP01：ユノよりフィピケの鏃へ　|　悠诺致菲皮克之箭矢
S1 EP01：軸は第二指格子の星　|　轴为第二指格子之星
S1 EP01：爆ぜる火花　回れ　|　爆裂火花 旋转
S1 EP01：ころ…殺しなさいよ　ねえ　|　杀…杀了我吧
S1 EP01：私が何を言っても殺すんでしょ　|　无论如何都要杀了我吧
S1 EP01：望みどおりよ　|　正合我意啊
S1 EP01：死ぬのが望みだもの　|　我就想去死
S1 EP01：そうよ　私は…　|　没错 我…
S1 EP01：おめえ　死ぬのが好きか　|　你 喜欢死亡吗
S1 EP01：なあ　|　喂
S1 EP01：死ぬのが好きかって聞いてんの　|　我问你是不是喜欢死亡
S1 EP01：はい　|　是
S1 EP01：いいえ　|　不是
S1 EP01：なんだ　そりゃあ　|　你怎么回事
S1 EP01：もったいねえぞ　おめえ　|　这样很浪费的
S1 EP01：人間　こっからが面白おもしれえんだろうよ　|　做人呀 是从现在开始才有趣的
S1 EP01：面白い？　|　有趣？
S1 EP01：なんもかんもなくなってからがいい　|　全都失去之后才好
S1 EP01：どこ行くのも　何やんのも　おめえの勝手でできる　|　之后要去哪 要去做什么 全由你自己决定
S1 EP01：いいもんだぞ　|　这不是很好吗
S1 EP01：こんなの　刃こぼれした練習用の剣でできるはずない　|　这种 破破烂烂的练习用剑不可能做到
S1 EP01：まさか…　|　难道说…
S1 EP01：あなた「客人」　|　你是「客人」吗
S1 EP01：この街でもその呼び方か　|　这里也是这种称呼啊
S1 EP01：まっ　好きに呼びゃいいけど　|　随你怎么叫吧
S1 EP01：つまんねえや　|　没意思
S1 EP01：そんな　|　怎么可能
S1 EP01：全部　これ…　|　这全都是你…
S1 EP01：こんな世界にも機械があんのな　|　这种世界里也有机械啊
S1 EP01：なんだっけか　ゴーレム？　|　叫什么来着 机魔？
S1 EP01：いっくら斬っても大したもんじゃねえ　|　不管砍多少都不费事
S1 EP01：大したもんじゃないって　|　你居然说不费事
S1 EP01：食える草じゃねえんかよ　|　这草不能吃的吗
S1 EP01：それ　根束草は毒草だけど　|　根束草是有毒的
S1 EP01：だと思ったわ　|　我就知道
S1 EP01：おめえ　飯は持ってねえのか　|　你有带吃的吗
S1 EP01：逃げたほうがいいわよ　あなた　絶対に　|　你还是赶紧逃吧 真的
S1 EP01：いくら強くたって　もう　この街は無理なの　|　不管你有多强 这里都没救了
S1 EP01：なんだなんだ　怒んな　|　干嘛干嘛 别生气啊
S1 EP01：無理って何が　|　你说什么没救了
S1 EP01：何がって　|　你还问我
S1 EP01：あれが見えないの　|　你看不见那个吗
S1 EP01：その剣１本で　あれも殺せるって言うの　|　凭你那把剑 杀得掉那个吗
S1 EP01：大迷宮自体が　巨大なゴーレムだったのよ　|　大迷宫本身就是巨大的机魔啊
S1 EP01：本物の魔王を打ち倒すために造り出された　怪物なのかも　|　那或许是为了打倒真正的魔王 而被制造出来的怪物
S1 EP01：飯持ってねえか　|　你有带吃的吗
S1 EP01：別に草でも虫でもいいんだけどよ　|　草或者虫都可以
S1 EP01：まだ朝飯　食ってねえんだわ　|　我还没吃早饭呢
S1 EP01：携行食なら　|　只有便携食品
S1 EP01：けど　これ　そんなに味もなくて　|　但是这个没什么味道
S1 EP01：面倒っちいな　おい　|　你真是麻烦啊
S1 EP01：じゃあ　その飯よこせ　交換だ　交換　|　你把那个给我吧 这是交易
S1 EP01：交換？　|　交易？
S1 EP01：代わりにあのデカブツやってやっからよ　|　我会帮你干掉那个大家伙
S1 EP01：そろそろ　やっちまおうと思ってたんだわ　|　我也觉得差不多该干掉它了
S1 EP01：面白おもしれえだろ　|　很有趣吧
S1 EP01：楽しそうだ　|　感觉会很愉快
S1 EP01：なんなのよ　あなたは　|　你到底是什么人
S1 EP01：柳生新陰流　柳生宗次朗　|　柳生新阴流 柳生宗次朗
S1 EP01：この俺が地球最後の柳生だ　|　我就是地球上最后的柳生
S1 EP01：この世界とは異なる　「彼方」からの来訪者　|　并非这个世界 而是「彼方」到此的来访者
S1 EP01：その剣豪は　最悪の不吉と共に来た　|　这位剑豪与最坏的噩兆一同到来
S1 EP01：さっきの技　あいつが詞術か　|　你刚才那招就是词术吗
S1 EP01：どうやる　|　怎么用的
S1 EP01：やってたろ　矢じりを飛ばした　あれだ　|　你刚才用的 放出箭的那个
S1 EP01：そんくらい教えてくれろ　|　稍微教教我吧
S1 EP01：客人には使えない力だって習ったわ　|　老师说过 客人使用不了这个力量
S1 EP01：客人がいた彼方は物理法則のみの世界　|　客人所处的是只有物理法则的世界
S1 EP01：音の言葉だけで話しているから　|　他们只会用声音的语言来说话
S1 EP01：認識が追いつかないって　|　所以无法理解
S1 EP01：音の言葉？　|　声音的语言？
S1 EP01：ああ　そうだな　|　啊 也是
S1 EP01：日本語なわけねえわな　こっちの言葉　|　这边的语言不可能是日语嘛
S1 EP01：あなたと私がこうやって話せているのが詞術　|　你和我能像这样交谈也是因为词术
S1 EP01：その詞術で　空気や物を相手に　動いたり燃えたりするよう頼むの　|　我们会用词术 让空气和物体这些对象运动或燃烧
S1 EP01：よく分かんねえ　面倒だ　|　听不太懂 麻烦
S1 EP01：刀のほうがいい　|　还是用刀好
S1 EP01：死ぬわよ　|　你会死的
S1 EP01：関係ねえ　|　无所谓
S1 EP01：みんな死んだあとで　|　大家都死了
S1 EP01：あんなの斬ってもなんにもならない　|　就算把它砍了也无济于事
S1 EP01：逃げたほうがいいに決まってるでしょ　|　当然应该快点逃走吧
S1 EP01：なんでだよ　|　为什么
S1 EP01：だって　|　因为
S1 EP01：死んだらおしまいなのに　|　死了的话一切就结束了
S1 EP01：おしまいか　|　结束吗
S1 EP01：敵が勝てねえバケモンならそこで終わりか　|　因为敌人是打不过的怪物所以就放弃吗
S1 EP01：だからって　私に何ができるの　|　那我又能做什么呢
S1 EP01：あんな　あんな災害みたいなヤツに　|　对那种灾难一样的怪物
S1 EP01：私　戦えなんて言えない　|　我不能让你去战斗
S1 EP01：おめえは関係ねえよ　|　跟你没关系
S1 EP01：俺が楽しいからやるんだ　|　是我觉得愉快才去的
S1 EP01：ありゃ絶対に楽しいぞ　なあ　|　绝对会很愉快的 对吧
S1 EP01：行くか　|　上吧
S1 EP01：なんなの　あの速さ　|　什么啊 那种速度
S1 EP01：ナガンよりナガネルヤの心臓へ　|　纳甘致纳加内鲁亚之心脏
S1 EP01：あれだ　|　就是那个
S1 EP01：街を焼き尽くした光だ　|　将城市燃烧殆尽的光芒
S1 EP01：あのバケモノは　熱術まで使えるんだ　|　那个怪物 甚至连热术都会用
S1 EP01：燃えよ　|　燃烧吧
S1 EP01：助かったぜ　|　帮大忙了
S1 EP01：いい足場をばらまいてくれてよ　|　给我准备了这么多落脚点
S1 EP01：どうせ詞術ってのは　自分を巻き込むことはできねえと思ってよ　|　我就知道词术肯定不会把自己也卷进去
S1 EP01：だなあ　|　对吧
S1 EP01：おめえは　|　你这家伙
S1 EP01：そこが命だ　|　那里就是命脉吧
S1 EP01：永禄８年　|　永禄八年
S1 EP01：真偽定かならぬ逸話ではあるが　|　有一段真假不明的逸闻
S1 EP01：柳生新陰流開祖　柳生宗厳は　無刀取りにて　|　柳生新阴流鼻祖 柳生宗严 据说曾用无刀取
S1 EP01：剣聖　上泉信綱の門下を下したとされる　|　击败了剑圣上泉信纲的弟子
S1 EP01：斬撃より速く武器を奪い　|　用快于斩击的速度夺下武器
S1 EP01：相手の力を利用して打ち倒すことなど　|　利用对手的力量将其打倒这种事
S1 EP01：可能なのであろうか　|　有可能做到吗
S1 EP01：可能である　|　是可能的
S1 EP01：見たぞ　おめえの命　|　看到了 你的命脉
S1 EP01：そこだ　|　就在那
S1 EP01：取ったぞ　おめえの武器　|　我就收下了 你的武器
S1 EP01：これが無刀取りだ　|　这就是无刀取
S1 EP01：本当に倒した　|　真的打倒了
S1 EP01：でも　なんで　|　但是 为什么
S1 EP01：なんでこの日に大迷宮が動いたの　|　为什么大迷宫在今天动起来
S1 EP01：まさかソウジロウのせい　|　难道是因为宗次朗
S1 EP01：あいつの強さに自動で反応したの？　|　自动对他的强大力量产生了反应？
S1 EP01：それとも　あいつが戦いを望んで　|　还是说 那家伙渴望战斗
S1 EP01：わざと起動させた？　|　故意启动的？
S1 EP01：斬ったぞ　|　砍倒了哦
S1 EP01：エムワンのヤツを斬るよか楽しかったな　|　比砍M1愉快多了
S1 EP01：エムワン？　|　M1？
S1 EP01：Ｍ１エイブラムス？　|　M1艾布拉姆斯？
S1 EP01：戦車ってのか　|　好像是坦克吧
S1 EP01：どうせ分っかんねえだろ　|　反正也听不懂吧
S1 EP01：こっちの連中はよ　|　你们这边的人
S1 EP01：なんで　|　为什么
S1 EP01：なんでなの　|　到底为什么啊
S1 EP01：作ったヤツの気分になりゃ　|　只要代入制作者的想法
S1 EP01：命の場所もすぐ見抜ける　|　一下子就能看穿命脉了
S1 EP01：地面から近い脚じゃねえ　|　不是离地面最近的腿
S1 EP01：腰は荷重がかかりすぎる　|　在腰上的话负担太重
S1 EP01：胸は火を吐く武器　|　胸部是喷火的武器
S1 EP01：最初に殴りかかってきたのは左腕　|　最初发起进攻的是左臂
S1 EP01：残ったのは　右腕だ　|　剩下的 就是右臂了
S1 EP01：じゃ　俺は行くわ　|　那我就先走了
S1 EP01：待って　|　等等
S1 EP01：これ　携行食だけど　|　你要的便携食品
S1 EP01：そういや　腹減ってたっけな　|　说起来我确实肚子饿了啊
S1 EP01：楽しくてすっかり忘れちまってたわ　|　玩得太尽兴忘得一干二净了
S1 EP01：あんがとよ　|　谢了啊
S1 EP01：うめえな　|　好吃
S1 EP01：虫やら草より随分いい　|　比虫子和杂草好太多了
S1 EP01：こっちの世界も悪くねな　|　这边的世界也不赖嘛
S1 EP01：そうか　私は…　|　原来 我其实是…
S1 EP01：強い者が憎いんだ　|　憎恨强者啊
S1 EP01：私の人生を取るに足らないものに変えてしまった強者たち　|　把我的人生变得微不足道的强者们
S1 EP01：すべてを破壊され　悲劇すら蹂躙されても　|　即使一切都被摧毁 连悲剧也被蹂躏
S1 EP01：私みたいな弱者は　それを否定する権利すらない　|　像我这样的弱者 甚至没有去否定的权利
S1 EP01：だから　たとえ見当違いでも　|　所以 即使是错误的
S1 EP01：何かで自分を支えていくしかない　|　我也必须找东西支撑自己
S1 EP01：さてと次だ　次　|　那么 该走了
S1 EP01：次はもっと楽しいヤツがいい　|　最好能遇到更有趣的家伙
S1 EP01：どっちに行くかな　|　去哪里好呢
S1 EP01：黄都　|　黄都
S1 EP01：黄都がいい　|　去黄都好
S1 EP01：今は一番大きい国になったから　|　因为那里成了现今最大的国家
S1 EP01：そっか　強い連中もいそうか　|　这样啊 那里有强者吗
S1 EP01：いる　|　有的
S1 EP01：黄都の議会が世界中から英雄を集めてる　|　黄都的议会在召集世界各地的英雄
S1 EP01：すごく大きな何かを決めるために　|　为了决定某件重要的事
S1 EP01：そりゃいい　|　听起来不错
S1 EP01：この男を殺す　|　要杀了这个男人
S1 EP01：そうだ　この世界には　|　没错 在这个世界上
S1 EP01：それができる強者がいる　|　肯定有强者可以做到
S1 EP01：だから　|　所以
S1 EP01：あなたと戦っても負けない敵がきっといる　|　肯定会有战斗不输给你的人
S1 EP01：誰もがその名を知る　黄都の第二将　|　有人尽皆知的 黄都第二将
S1 EP01：絶対なるロスクレイがいる　|　绝对的罗斯克莱
S1 EP01：遠くワイテの山岳に潜む　おぞましきトロアの名を知っている　|　我还知道潜伏于遥远的瓦伊特山岳中 骇人的托洛亚
S1 EP01：人に知られぬ第五の詞術系統を極めたと語る　|　据说将无人知晓的第五词术系统修炼到极致的
S1 EP01：真理の蓋のクラフニル　|　真理之盖库拉夫尼鲁
S1 EP01：９年前に大氷塞を解放した客人　|　九年前解放了大冰塞的客人
S1 EP01：黒い音色のカヅキがいる　|　漆黑音色香月
S1 EP01：あるいは誰も見たことのない　|　甚至是从未有人见过的
S1 EP01：冬のルクノカさえ　|　冬之露库诺卡
S1 EP01：この世界にはまだ　無数の脅威と真実が残されている　|　在这个世界上仍然存在着无数的威胁和真相
S1 EP01：私はこの男が何者なのか　|　我必须弄清这个男人的身份
S1 EP01：彼方とは何かを知らなければならない　|　以及所谓的彼方又是什么
S1 EP01：私が案内するわ　|　我来给你带路吧
S1 EP01：ナガンの学士としてだけど　|　虽然我只是纳甘的学者
S1 EP01：それでも黄都に怪しまれない身分にはなるから　|　但在黄都不会有人怀疑我的身份
S1 EP01：いいじゃん　その顔　|　不错啊 你的表情
S1 EP01：何が　|　你指什么
S1 EP01：いや　あんがとよ　|　没什么 谢了啊
S1 EP01：こっからはもう　おめえも好き勝手できるってことだろ　|　从现在开始 你就可以随心所欲了吧
S1 EP01：自由だ　|　你自由了
S1 EP01：そう　私も　ありがとう　|　是吗 那我也谢谢你
S1 EP01：自由だ　|　我自由了
S1 EP01：何もかもを失った今は　|　在失去了一切的当下
S1 EP01：途方もないことだってできるような気がする　|　我觉得我甚至可以做一些出格的事
S1 EP01：名前は　|　你叫什么名字
S1 EP01：ユノ　|　悠诺
S1 EP01：遠い鉤爪のユノ　|　远方钩爪悠诺
S1 EP01：この地平にうごめく無数の修羅　|　这片土地上 无数修罗蠢蠢欲动
S1 EP01：これは　１人目の話だ　|　这是第一个人的故事
S1 EP01：それは単独の真剣のみで　|　他只凭一把剑
S1 EP01：数多のゴーレムを撃破することができる　|　就可以击败数量众多的机魔
S1 EP01：それはあまねく伝説をただの事実へと堕する頂点の剣技を振るう　|　他施展的巅峰剑术 将传说沦为纯粹的事实
S1 EP01：それは全生命の致死の急所を理解する殺戮の本能を持つ　|　他拥有的杀戮本能 看透所有生命的致命要害
S1 EP01：世界現実に留め置くことすらできぬ　|　他是一位甚至不能存于现实世界的
S1 EP01：最後の剣豪である　|　最后的剑豪
S1 EP01：剣豪　人間　柳の剣のソウジロウ　|　剑豪 人类 柳之剑宗次朗
S1 EP01：こりゃ命だけを抜き取ってるな　|　看来有人专取它们性命
S1 EP01：もう１人いたのか　|　原来还有一个人吗
S1 EP01：#纳甘迷宫都市
S1 EP01：#探险者培养学校
S1 EP01：#人类 远方钩爪悠诺
S1 EP01：#机魔：以非生物材料制造出的魔族。尽管存在差异，但都拥有心、智力和生命，如果能发音也可以使用词术。其生命来源于「生命词术」的镌刻，如果此处遭受破坏，则会「死亡」。
S1 EP01：#生命词术：这个刻印根据个体不同，处于不同位置，从外侧通过肉眼极难确定。
S1 EP01：#注：M1艾布拉姆斯，美国陆军的一种主战坦克。
S1 EP01 OUT

S1 EP02 IN
S1 EP02：本物の魔王が死んだ　|　真正的魔王已经死了
S1 EP02：地平のすべてを恐怖させた世界の敵を　何者かが倒した　|　使大地上所有生灵恐惧的敌人 被某人打倒了
S1 EP02：その１人の勇者はいまだ　その名も実在も知れぬままである　|　至今 人们也无法确定那位勇者的姓名与存在
S1 EP02：恐怖の時代が終息した今　その１人を決める必要があった　|　在恐惧时代结束后的现在 必须决出这位勇者
S1 EP02：警めのタレンという名の将が　人間唯一の王国　黄都から離反した　|　名为警戒塔莲的将领叛离了人类唯一的王国黄都
S1 EP02：待てって　|　等等我
S1 EP02：タレンは自領として有していた運河沿いの地方都市を独立させ　|　她让自己领有的运河沿岸地方都市独立
S1 EP02：リチア新公国を名乗っている　|　自称为利奇亚新公国
S1 EP02：それは黄都の辺境支配を脅かす　重大な軍事的挑発でもあった　|　这一举动是威胁黄都边境统治的重大军事挑衅
S1 EP02：その日　月嵐のラナは　タレンが放った諜報兵として　|　那一天 塔莲派遣的间谍月岚拉娜
S1 EP02：リチアに帰還予定であった　|　按计划返回利奇亚
S1 EP02：近づいてきてるな　|　它们追上来了
S1 EP02：人間の群れを襲う時は　連中もああやって一塊の群れで来る　|　袭击人群的时候 它们也是这样成群结队的
S1 EP02：ありゃ間違いなく鳥竜だ　|　那绝对是鸟龙
S1 EP02：この速さならいずれ追いつかれる　|　这个速度迟早会被追上
S1 EP02：ねえ　鳥竜が来る前に　リチアに着けないの　|　喂 在被鸟龙追上前能回到利奇亚吗
S1 EP02：群れがもう見えてるなら無理です　|　都看得见龙群了 不可能的
S1 EP02：目と鼻の先でしょ　どうにかしてよ　|　近在咫尺了 想想办法吧
S1 EP02：急いではいますが　|　已经尽可能快了
S1 EP02：全員　食われるかもな　|　大家可能都会被吃掉吧
S1 EP02：肉が残ってるヤツは　だが　|　不过仅限身上有肉的人
S1 EP02：ヒグアレ　自信の程は　|　希古尔雷 你有把握吗
S1 EP02：はい　無論　全滅させることはできますが　|　当然 全灭它们是没问题的
S1 EP02：タレン殿は魔王自称者だと　聞き及びました　|　我听说塔莲殿下是一名魔王自称者
S1 EP02：それは王国側から見た呼び名にすぎないよ　|　这不过是王国那边的称呼
S1 EP02：確か人間の社会は　３つの王国が支配していると　|　人类的社会好像是由三个王国支配的
S1 EP02：辺境は遅れてんな　|　边境的消息真慢
S1 EP02：今は黄都だけで　他は全部滅んだ　|　现在只剩黄都 其他都灭亡了
S1 EP02：本物の魔王のせいでね　|　被真正的魔王
S1 EP02：その黄都から見たら　自分たちだけが正なる王で　|　在黄都看来 只有自己才是正统的王
S1 EP02：他は魔王自称者ってわけだ　|　其他人都是魔王自称者
S1 EP02：本物の魔王は　自称者ではなかったのですか　|　真正的魔王并不是自称者吗
S1 EP02：あれは本物だ　|　那是真魔王
S1 EP02：あいつ以外の魔王を　魔王と呼べるわけがない　|　除了那家伙以外的魔王 都不能被称之为魔王
S1 EP02：ヒグアレとか言ったか　|　你是叫希古尔雷吧
S1 EP02：はい　|　是的
S1 EP02：客人でも　もう少しは物を知っている　|　客人知道的事情都比你多
S1 EP02：それで傭兵稼業とはな　|　亏你还做佣兵这行
S1 EP02：訳あって　剣を振るのみの暮らしをしておりましたので　|　出于一些原因 我之前过着终日挥剑的日子
S1 EP02：人からは　海たるヒグアレなどと呼ばれております　|　人们称我为大海的希古尔雷
S1 EP02：あなたは　|　你呢
S1 EP02：音斬りシャルク　|　斩音夏鲁库
S1 EP02：どうでもいいけど仲良くしろよ　|　怎样都行 但要好好相处哦
S1 EP02：到着前に殺し合いなんざされたら　タレン様に合わせる顔がない　|　要是在抵达前你们打起来了 我可没脸见塔莲大人
S1 EP02：ラナ殿　|　拉娜殿下
S1 EP02：鳥竜とは別口の相手が来ているようですが　|　似乎除了鸟龙还有另一路人
S1 EP02：何　|　什么
S1 EP02：馬車を止めろ　|　停下马车
S1 EP02：抵抗すれば殺す　積み荷を渡せ　|　敢反抗就杀了你 把货物都交出来
S1 EP02：積み荷目当ての野盗だ　|　是盯上货物的山贼
S1 EP02：鳥竜に野盗とは　八方塞がりだな　|　鸟龙加上山贼 还真是无路可逃
S1 EP02：早く止めねえと吹っ飛ばすぞ　|　再不停车就炸飞你
S1 EP02：上　|　上方
S1 EP02：なんで　もう鳥竜が　|　为什么鸟龙已经来了
S1 EP02：こいつら　いつの間に　|　这群家伙什么时候
S1 EP02：なんで　こんなに早く　|　为什么这么快
S1 EP02：クソッ　|　可恶
S1 EP02：ありえねえ　|　不会吧
S1 EP02：こいつら街から来てやがる　|　他们是从城市那边过来的
S1 EP02：安心していいよ　|　可以放心了
S1 EP02：出番はない　|　轮不到我们出场
S1 EP02：あれは　まさか人間が飼い慣らしているのか　|　那些 难道是人类驯养的鸟龙吗
S1 EP02：そのまさかだったら　|　如果是这样呢
S1 EP02：グズグズするな　撃て　|　别磨蹭了 开枪
S1 EP02：真上に撃ったことなんて　|　怎么朝天上开枪啊
S1 EP02：当たらねえよ　こんなの　|　打不中他们啊
S1 EP02：やめ…　|　不要…
S1 EP02：助けてくれ　|　救命啊
S1 EP02：全滅　射手を全滅　|　全灭 全灭枪手
S1 EP02：第二隊は丘の向こうに回れ　|　第二队绕到山丘那边去
S1 EP02：人間の肉は決して食うな　|　绝对不要吃人类的肉
S1 EP02：全員　バラバラに切り刻め　|　把他们全都切碎
S1 EP02：新公国に刃向かったバカの末路がよく見えるようにだ　|　让人看看与新公国敌对的蠢货会有什么下场
S1 EP02：野生のクズ群れめ　|　野生的垃圾们
S1 EP02：出撃　空対空戦闘用意　|　出击 准备空对空战斗
S1 EP02：レグネジィの熱術だ　|　是雷古聂吉的热术
S1 EP02：レグネジィ殿は鳥竜ですか　|　雷古聂吉殿下是鸟龙吗
S1 EP02：鳥竜の群れには必ず統率個体がいる　|　鸟龙群中必有一个统率个体
S1 EP02：レグネジィがそれだ　|　而那就是雷古聂吉
S1 EP02：ヤツらが守っている以上　新公国の…　|　只要有他们在 新公国的…
S1 EP02：防衛は万全だ　|　防卫就万无一失
S1 EP02：鳥竜を航空戦力として運用した都市は　歴史上どこにもない　|　将鸟龙当作空中战力使用的城市 是史无前例的
S1 EP02：無敵だよ　|　无敌
S1 EP02：だったら　なぜ野盗が襲う　|　那为什么 山贼还会来袭
S1 EP02：何　|　什么
S1 EP02：本当に無敵なら野盗も襲おうとはしない　|　如果真的无敌 山贼就不会来袭
S1 EP02：つまり　そこが　あんたたちが必要な理由さ　|　这就是为什么需要你们
S1 EP02：本当の敵は他にいると　|　真正的对手另有其人吗
S1 EP02：そうだ　野盗を誘導している者がいる　|　没错 有人在诱导山贼
S1 EP02：リチアを攻撃させることで　間接的に利益を得る者が　|　通过攻击利奇亚 而间接获利的人
S1 EP02：リチアのタレン殿は　魔王自称者という話でしたね　|　刚才说到利奇亚的塔莲殿下是魔王自称者吧
S1 EP02：なるほど　|　原来如此
S1 EP02：黄都が俺たちの相手か　|　黄都才是我们的对手吗
S1 EP02：人間最後の王を頂く都市　黄都　|　拥戴着人类最后一位女王的城市 黄都
S1 EP02：その政治を動かしている主体は　|　运作其政治的主体
S1 EP02：王自身でなく　29人の官僚である　|　并非女王本身 而是29位官僚
S1 EP02：リチアの話は聞いてる　|　利奇亚的事我听说了
S1 EP02：野盗の通商攻撃程度じゃ　間に合わないのも当然だろ　|　山贼的贸易攻击当然是不够的
S1 EP02：相手は警めのタレンだ　|　对手可是警戒塔莲
S1 EP02：だから　こうして話をしている　|　所以我们才在这里讨论
S1 EP02：勇者を決定する上覧試合は　一大事業だ　|　决出勇者的御前比试 是一件大事
S1 EP02：リチアが本格的な攻勢に出れば　対処する余裕はない　|　如果利奇亚动真格地进攻 我们没有余力应对
S1 EP02：相手も　それを狙っている　|　对方也正是这么盘算的
S1 EP02：とはいえ　戦争は避けたい　|　话虽如此 我想避免战争
S1 EP02：それは最後の手段だ　|　那是最后的手段
S1 EP02：だったら　|　那么
S1 EP02：暗殺だな　|　就是暗杀了
S1 EP02：可能か　|　可行吗
S1 EP02：第十七卿の　エレアちゃんの部隊は　|　第十七卿 爱蕾雅的部队呢
S1 EP02：密偵は潜入させている　|　已经派密探潜入了
S1 EP02：ヤツ自身は別の案件を調査中だ　|　那家伙自己还在调查别的案件
S1 EP02：鳥竜の討伐ならば　第六将の専門だろうが　|　说到讨伐鸟龙 应该是第六将的专长吧
S1 EP02：ハルゲントのおっさんには　関わってもらいたくないね　|　我不想哈鲁甘特大叔参与进来
S1 EP02：同意だ　|　同意
S1 EP02：それに彼はドラゴン討伐で　ティリート峡に向かっている　|　况且他正为了讨伐龙而前往提利特峡谷
S1 EP02：ドラゴン？　|　龙？
S1 EP02：無理に決まってるだろ　どこまで落ち目なんだ　|　肯定做不到吧 他还要废物到哪去
