EP1 IN
EP1：先に言っておくと　これからする話は　|　事先说明 接下来要讲的故事
EP1：うん　今行く　|　好 我马上来
EP1：ありがとう　また明日ね　|　谢谢你 明天再见
EP1：また明日　|　明天见
EP1：ごめんごめん　お待たせ　|　不好意思久等了
EP1：あいつ　サッカー部の三年と付き合ってるらしいぜ　|　那家伙好像在和足球部的三年级学生交往
EP1：お前　ほんと容赦ねえな　|　你还真是不留情啊
EP1：性分なもんで　|　我天性如此
EP1：帰る　|　我回去了
EP1：ゲーセン寄らねえの　|　不去游戏中心吗
EP1：今日はパース　|　今天就算了
EP1：お大事にどうぞ　|　保重身体
EP1：しかし　佐和さんかわいいよな　|　话说佐和同学真是太可爱了
EP1：でも今頃はサッカー部の先輩と　|　可惜被足球部的前辈抢走了
EP1：誰か…　|　谁来…
EP1：なんで誰も　|　为什么没人
EP1：俺…　|　我…
EP1：ただいま　|　我回来了
EP1：薬　もらってきたの　|　药拿回来了吗
EP1：ちゃんと飲みなよ　|　要好好吃药哦
EP1：前みたいなことになったら大変なんだから　|　再发生之前那种事就太麻烦了
EP1：つまんねえ　|　真无聊
EP1：また明日ね　|　明天再见
EP1：あなたは　選ばれました？　|　你被选中了？
EP1：なんだ　新手の釣りかよ　|　什么啊 新型诈骗吗
EP1：願いって言ったら　|　要说愿望的话
EP1：佐和さんとエッチなことさせておくれ　的な？　|　让我跟佐和同学做色色的事情 这种？
EP1：よろしくな　兄弟　|　请多关照 兄弟
EP1：夢？　|　梦？
EP1：やっば　|　糟糕
EP1：来た　|　来了
EP1：あいつだろ　|　是那家伙吧
EP1：あぶねえ動画　|　那个危险的视频
EP1：目立ちだよかな　|　是想引人注目吧
EP1：陰キャだよね　|　是个阴暗的人呢
EP1：よ　有名人　|　哟 名人
EP1：なんの話だよ　|　你在说什么
EP1：みんな噂してるぜ　世界トレンド一位の男って　|　大家都在讨论的热搜第一的男人
EP1：な…なに　|　什…什么
EP1：なんかのネタになるかと思って動画撮らせたけど　|　以为能成为什么梗才让你拍的
EP1：ネットに上げるとかお前　逆に見直したぜ　|　你居然传到网上了 对你刮目相看
EP1：意味わかんねえよ　|　你在说什么啊
EP1：この時刻　佐和穂花に画像投稿のやり方を教えてたとき　|　这个时间 难道是我教佐和穗花上传照片的时候
EP1：ポケットの中で投稿しちゃったってこと　|　不小心在口袋里投稿了吗
EP1：そんな奇跡ってあるかよ　|　怎么会有这种巧合
EP1：小野と秋津　先生と一緒に来なさい　|　小野和秋津 来老师这一趟
EP1：マジか　|　真的吗
EP1：そうですよね　|　肯定的吧
EP1：最悪だ　|　倒了大霉
EP1：一週間の謹慎処分　決定　|　一周的在家反省 到手
EP1：で　どこ遊び行く　|　那么去哪儿玩呢
EP1：行くわけねえだろ　|　哪有心思去玩
EP1：マジでめんどくせえ　|　真是麻烦死了
EP1：やっぱあれ　親がうざいとか　|　果然是因为父母很烦吗
EP1：別に　親とか俺に興味ないし　|　不是 父母又不关心我
EP1：お前はどうなんだよ　|　你那边怎么样啊
EP1：両方死んでるけど　|　父母都去世了
EP1：それガチ　|　真的吗
EP1：ガチガチ　|　真的真的
EP1：組織の抗争に巻き込まれて　抹殺されちゃったのよ　|　卷入组织斗争被杀掉了
EP1：うそくそ　|　信你个鬼
EP1：あの　|　那个
EP1：佐和さん　|　佐和同学
EP1：えっと　あの動画なんだけど　|　那段视频
EP1：あれ　私に教えたせいなんだよね　|　是因为教我才不小心上传的吧
EP1：いやいや　あれは自分のミスっていうか　|　没有没有 都是我自己的失误
EP1：全部秋津のせいっていうか　|　或者说都是秋津的错
EP1：今すっごい流れ弾きた　|　不要甩锅给我
EP1：とにかく　佐和さんに謝ってもらうようなことじゃないから　|　总之不需要佐和同学道歉
EP1：いや　こうは言ってるけどこいつ　落ち込んじゃってるみたいでさ　|　别看这家伙嘴上这么说 其实他特别消沉
EP1：佐和さん　ちょっと慰めてやってもらえる　|　佐和同学 能稍微安慰一下吗
EP1：いや　|　不用
EP1：佐和さん　彼氏もいるんだし　|　而且佐和同学有男朋友
EP1：いないけど　|　没有
EP1：彼氏とか　いないけど　|　我没有男朋友
EP1：せっかくの機会だぜ　|　机会难得
EP1：でも　|　但是
EP1：こういう時こそ　ゲーセンの出番だろ　|　游戏中心就是为这种时候准备的吧
EP1：ゲーセン？　|　游戏中心？
EP1：すごい　|　好棒
EP1：電気も通ってるし　置いてあるゲームとかも全部遊べるけど　|　房间有电 放着的所有游戏都能玩
EP1：こういうの興味ある　|　你对这些有兴趣吗
EP1：あんまりやらないけど　|　平时不怎么玩
EP1：でも　おすすめがあったら覚えたいかも　|　但是你推荐的话还是想试试
EP1：じゃあ　これなんてどうかな　|　那这个怎么样
EP1：ちょっと難易度高めのやつだけど　|　虽然有点难度
EP1：やろうやろう　|　要玩要玩
EP1：見て　僕を見て　|　看我 好好地看我
EP1：違う違う　これじゃない　|　错了错了 不是这个
EP1：秋津の野郎　なんでも見てるんだよ　|　秋津那个混蛋怎么什么都看啊
EP1：なんで再生止まらないのこれ　|　为什么暂停不了
EP1：もう　|　可恶
EP1：なにやってるの　|　你在干什么
EP1：こういうのがやりたいんじゃないの　|　你不是想做这种事吗
EP1：なんだこれ　|　怎么回事
EP1：なんだこれ　|　怎么回事
EP1：俺　なにやってんだよ　|　我在干什么啊
EP1：大願成就　おめでとうございます　|　恭喜你如愿以偿
EP1：よし　そのまま続けていいからよく聞けよ　|　你可以继续做 好好听我说
EP1：何だこいつ　|　这家伙是什么
EP1：俺はお前を神様にするために生まれた　因果をねじ曲げる力だ　|　我是为了让你成为神而诞生的 扭曲因果的力量
EP1：幸か不幸か　大いなる意思に選ばれちまった神様候補全員が　|　无论幸运或不幸 所有被伟大神意选中的神明候选者
EP1：孤独の儀式よろしく殺しあって　神様の座を奪い合う　|　都会在一场孤独的仪式中互相残杀 争夺神位
EP1：最後の一人が文句なしの唯一神になれるって寸法だ　|　留下的最后一人会成为无可争议的唯一神
EP1：分かりやすいだろ　|　很容易理解吧
EP1：ありえない　|　不可能
EP1：急に飛び出してどうしたんだよ　|　为什么突然跑掉了
EP1：喋んなよ　幻覚　|　幻象 不要说话
EP1：薬の副作用　|　是药的副作用
EP1：幻覚なんてひどいじゃねえか　|　说别人是幻象也太过分了吧
EP1：これから一緒に戦っていこうってパートナーだろ　|　以后就是一起战斗的同伴了
EP1：仲良くしようぜ　兄弟　|　好好相处吧 兄弟
EP1：病院　病院　|　医院 医院
EP1：病院が　なくなってる？　|　医院 不见了？
EP1：なんで　こんな分かりやすい道　間違うわけないのに　|　为什么 这么好认的路不可能走错
EP1：ああ　ここがねじれたのか　|　啊 这里被扭曲了吗
EP1：お前の願いは叶ったが　それの代償で世界がねじれた　|　作为你得偿所愿的代价 世界被扭曲了
EP1：その病院どうやらはなかったことになっちまったみたいだな　|　看来这个医院不复存在了
EP1：なんだよそれ　|　怎么回事
EP1：だから言ってるだろ　|　所以说
EP1：神様の力だって　|　这是神的力量
EP1：いい加減にしろよ　|　放过我吧
EP1：何が因果だよ　|　因果是什么
EP1：好きがって嫌がって　|　自说自话
EP1：能力　戦い　知ったこっちゃねえよ　|　能力 战斗 净是些不知道的东西
EP1：ストレス溜まってるのか　さっき抜いたのにな　|　积攒了压力吗 明明刚才都释放出去了
EP1：いや　お前のせいだからね　|　都是你的错
EP1：落ち着けって　変なやつに思われるぞ　|　放轻松 不然会被认为是怪人
EP1：お前が一番変なやつなんだよ　|　你才是最奇怪的家伙
EP1：もうなんなんだよ神様とか　|　神明是什么东西啊
EP1：わけわかんねえ　|　根本搞不懂
EP1：小野護郎君　|　小野护郎君
EP1：佐和さん？　|　佐和同学？
EP1：いきなり飛び出していったから　驚いたよ　|　你突然跑出去把我吓了一跳
EP1：いや　違うんだ　|　不是这样的
EP1：その…　|　那个…
EP1：護郎　|　护郎
EP1：今の避けるんだ　|　居然躲开了
EP1：すごい　|　真厉害
EP1：まさか君も候補だったとはね　|　没想到你也是候选者
EP1：佐和さん？　|　佐和同学？
EP1：それじゃあ　始めよっか　|　那就开始吧
EP1：謝肉祭　|　狂欢节
EP1：何これ　|　这是什么
EP1：ボサッとしてんな　|　别发楞了
EP1：避けんな　|　别躲啊
EP1：だから　|　所以说
EP1：小野君さ　|　小野君
EP1：武器も出さないとかやる気ある　|　武器都不拿出来 有斗志吗
EP1：いいか　護郎　|　听着 护郎
EP1：今から俺の言う通り…　|　现在开始按我说的…
EP1：やめよう　|　快住手
EP1：佐和さんもあいつに唆されたんだろ　|　佐和同学也被那家伙教唆了对吧
EP1：俺もなんだよ　|　我也是
EP1：急に戦いとか　神様とか意味不明なこと言われて　|　突然说些战斗 神明之类摸不着头脑的话
EP1：だから　えっと　|　所以 那个
EP1：戦う必要なんてなくない　|　没有必要战斗吧
EP1：神様とか　そんな訳分からないの　|　神明这种莫名其妙的事
EP1：殺し合ってまでなる必要ないでしょ　|　没有必要为它互相残杀吧
EP1：だから　ね　|　所以说
EP1：何　こいつ馬鹿なの　|　什么情况 他是傻子吗
EP1：いてえ　いてえ　|　好痛 好痛
EP1：小野君って　本当　低俗で　下品で　ヘラヘラしてて　|　小野君 真是 低俗 下流 废话连篇
EP1：私は誰に言われたからやってるんじゃない　|　我不是被人教唆的
EP1：自分の意思で選んで戦ってる　|　而是以自己的意志选择了战斗
EP1：戦って神様になって　全部手に入れる　|　战斗然后成神 得到一切
EP1：お前みたいな何も考えてないクズと　一緒にすんな　|　别把我和你这种不动脑子的人渣相提并论
EP1：誰か　助けて　|　有人吗 救命啊
EP1：誰も助けになんて来ねえよ　|　没人会来救你的
EP1：なんで　どうして俺がこんな　|　为什么我会遇上这种事情
EP1：おかしいだろ　何も悪いことしてないし　|　这不合理 我什么坏事都没做
EP1：普通に生きてきたのに　|　只是正常地活着
EP1：護郎　|　护郎
EP1：絶対おかしい　何かの間違いだ　|　绝对有问题 搞错了什么
EP1：俺悪くないのに　|　不是我的错
EP1：俺は…　|　我…
EP1：じゃあ　もう死ねよ　|　那你就去死吧
EP1：お前　何言ってんだよ　|　你什么意思
EP1：気に食わねえなら死ねって言ったんだ　|　接受不了就去死吧
EP1：誰も止めねえよ　|　没人拦着你
EP1：突然不条理に巻き込まれました　|　突然被卷入不合理的事
EP1：理不尽にひどい目に遭えました　|　没有任何原因吃了苦头
EP1：だから死にますって　|　那就去死呗
EP1：死ねばいいじゃねえか　|　死了不就好了
EP1：お前　本気で言ってんのか　|　你说这话是认真的吗
EP1：世界じゃそんなこと当然なんだ　|　世界上这种事理所当然
EP1：病気も事故も殺しも自殺も　|　病故 事故 凶杀 自杀
EP1：お前の知らねえところでずっと当然に起こってんだよ　|　在你不知道的地方一直理所当然地发生着
EP1：そいつらを今の神は救っちゃくれねえ　|　现有的神不会拯救这些人
EP1：お前のことなんて誰も助けちゃくれねえんだ　|　也不会有人来救你
EP1：たまたまお前の番なんだ　護郎　|　只是刚好轮到你罢了 护郎
EP1：殴られたら殴り返せ　|　被打了就打回去
EP1：理不尽に思うなら理不尽を返してやれ　|　对待不公就要以牙还牙
EP1：お前がそれをやるって言うなら　|　只要你想这么做
EP1：お前　名前なんて言うんだ　|　你叫什么名字
EP1：ラル　|　拉尔
EP1：ラル　|　拉尔
EP1：佐和さんはどうしたら止められる　|　怎样才能阻止佐和同学
EP1：止まらねえだろうな　|　大概阻止不了吧
EP1：結局は殺し合いなんだ　|　这终究是场死斗
EP1：死ぬまでお前を殺そうとするだろうよ　|　不是你死就是我活
EP1：だったら　どうしたらいい　|　那我到底该怎么办
EP1：起こしゃいいんだよ　|　只要你能
EP1：奇跡ってやつを　|　引发奇迹
EP1：知ってる　小野君　|　你知道吗 小野君
EP1：四丁目のお肉屋さん　古臭いお店だけど　|　四街的肉店 虽然很老旧
EP1：すっごい新鮮なお肉扱っててね　|　但卖的肉很新鲜
EP1：だから　ほら　|　所以 你看
EP1：もうすっかり元通り　|　已经完全复原了
EP1：これでお前を　綺麗に解体できる　|　这样就能把你大卸八块
EP1：佐和さん　どうしても戦うしかないの　|　佐和同学 无论如何都要战斗吗
EP1：それ　答える必要ある　|　我有必要回答吗
EP1：分かった　|　我知道了
EP1：ごめん　佐和さん　|　对不起 佐和同学
EP1：俺やっぱり死ぬのが怖い　|　我还是怕死
EP1：ほんと最後まで　クソみたいなセリフしか言わなかったねえ　|　你真是到死都说不出几句像样的话
EP1：愚者の聖典　|　愚者的圣典
EP1：何なのこれ　|　这是什么东西
EP1：ふざけんな　|　开什么玩笑
EP1：しょうがねえって　|　这也是没有办法
EP1：あっちも殺す気満々だったわけだし　|　对方也想杀了你
EP1：それに人工衛星の破片ってのは割とリーズナブルなんだ　|　而且人造卫星的碎片砸下来也还算合理
EP1：お前の寿命６か月程度で…　|　只消耗你六个月寿命…
EP1：護郎　選ばれちまった以上この戦いからは逃れられねえ　|　护郎 既然被选中了就无法回避这场战斗
EP1：極の話だが　今は…　|　虽然很残酷 但现在…
EP1：ラル　|　拉尔
EP1：お前がそうしたいって言うなら止めねえよ　|　要是你想这么做我也不拦你
EP1：でも　そしたらお前は…　|　但是这样 你就…
EP1：行ってきます　|　我出门了
EP1：朝っぱらから顔なんか見せんじゃないわよ　|　大早上的别让我看见你
EP1：あち歩け　ゴミ　|　滚一边去 渣滓
EP1：わざわざこんな因果を被るなんて　お前も好き者だよな　|　特地选择这种因果 你也真是个风流人物
EP1：周囲からは変態扱い　母親はアルチュー　|　被周围人当做变态 母亲也成了酒鬼
EP1：これが因果のねじ回った今のお前　|　这就是因果扭曲后的你
EP1：やっぱ昨日死んどいた方が楽だったんじゃね　|　或许昨天死了还能好点
EP1：うるせえって　|　你好烦啊
EP1：なんでそうまでしてあの子を生き返らせたかったのかね　|　也不知道你为什么不惜落得这种地步也要复活她
EP1：穂花　|　穗花
EP1：早く　|　快点
EP1：ちょっと待って　|　等等我
EP1：ごめん　|　抱歉
EP1：ほんと穂花はとろいんだから　|　穗花你太慢了
EP1：なによ　たまたまじゃん　|　只有偶尔才这样啦
EP1：#对我们召唤上天的神没有任何期待
EP1：#处方受理
EP1：#口服药
EP1：#小野护郎
EP1：#药片（精神治疗药）
EP1：#1次1片·1日3次（早·中·晚）
EP1：#14日份
EP1：#片濑纪念医院附属药局
EP1：#片濑纪念医院附属药局
EP1：#刚才谢谢你
EP1：#刚才谢谢你
EP1：#你被选中了 请许下你的愿望
EP1：#你被选中了 请许下你的愿望
EP1：#在谁也无法察觉 谁都梦寐以求的场所
EP1：#冲击影像、跳楼自杀「转播视频」
EP1：#游戏中心
EP1：#第二天
EP1 OUT

