EP01 IN
EP01：何これ何これ　|　这是什么这是什么
EP01：いえ　靴ひもが　|　不 是鞋带松了
EP01：トラブルじゃなきゃいいんだ　|　没遇到麻烦就好
EP01：じゃあ　気を付けて　|　那我先走了
EP01：ちょっと　|　等等
EP01：石に詳しいんですか　|　请问您很懂石头吗
EP01：まあ　多少は　|　多少懂一点
EP01：この辺で水晶が採れるって聞いたんですけど　|　我听说这附近能找到水晶
EP01：水晶？　|　水晶？
EP01：それなら　道を外れるがあっちの奥に　|　需要稍微偏离大路 往那边深处走
EP01：マジで　|　真的有吗
EP01：連れてってください　|　请带我去吧
EP01：いや　私は…　|　不 我…
EP01：まあ　いいか　|　算了 好吧
EP01：私　谷川瑠璃です　|　我叫谷川琉璃
EP01：荒砥凪　大学院生だ　|　我叫荒砥凪 是个研究生
EP01：石　好きなんですか　|　你喜欢石头吗
EP01：そうだな　調べるのが好きだ　|　怎么说呢 我喜欢研究它们
EP01：あの　その物々しいハンマーは？　|　那个 那把超夸张的锤子是？
EP01：こいつか　|　这个啊
EP01：先日骨董市で見つけたんだ　|　前几天在古玩市场上发现的
EP01：外国から流れてきた戦鎚らしいが　|　好像是从国外流传过来的战锤
EP01：さすが実用品　|　不愧是实用品
EP01：重心の位置が絶妙でね　|　重心位置设计得很巧妙
EP01：大割り用のハンマーに買ってしまった　|　我就买来劈大块石头了
EP01：今日はこれを使ってみたくてね　|　今天就想试试
EP01：楽しみだよ　|　真期待
EP01：危ない人？　|　危险人物？
EP01：お尻　痛い　|　屁股好痛
EP01：凪さん　|　凪姐
EP01：なんだ　またか　|　怎么了 又摔倒了啊
EP01：ていうか　全然道があるように見えないんですけど　|　话说 这怎么看都不像有路啊
EP01：大丈夫だ　これで合ってる　|　没问题 走这边是对的
EP01：本当に　|　真的吗
EP01：実はもう迷ってるんじゃ　|　实际上是不是已经迷路了
EP01：その岩を見てみな　|　看看那边的岩石
EP01：岩肌が黒いだろう　|　岩面是黑色的吧
EP01：溶岩の固まった玄武岩だ　|　那是熔岩冷却后形成的玄武岩
EP01：一方　反対側は堆積岩だ　|　而这一边则是沉积岩
EP01：灰色の石灰岩　|　是灰色的石灰岩
EP01：木々は似ていても石の顔はまるで違う　|　虽然附近树木相似 但岩石的模样完全不同
EP01：大丈夫　迷ってない　|　所以没问题 我们没迷路
EP01：もう少しだ　頑張れ　|　再走一会就到了 加油
EP01：はーい　|　好
EP01：何が　もう少しだ　|　什么再走一会就到了
EP01：脚もお尻も痛いし　あっちこっち引っ掛けるし　|　脚和屁股都好痛 还被各种东西绊到
EP01：こんなの聞いてないんですけど　|　这些可都没说啊
EP01：倒木があるぞ　|　前面有倒下的树哦
EP01：もうやだ　もうやだ　もうやだ　|　受不了了 我不去了 我受不了了
EP01：やっぱ水晶はお店で買うもんなんだ　|　果然还是在店里买水晶比较好
EP01：今更見つけたって全然うれしくないんだから　|　就算现在找到我也完全高兴不起来
EP01：瑠璃ちゃん　|　琉璃
EP01：ほら　|　快看
EP01：水晶だ　本物の水晶　|　是水晶 真正的水晶
EP01：ほんとにあったんだ　|　这里真的有啊
EP01：あそこにも　|　那里也有
EP01：ここにも　ここにも　|　这里也有 这里也有
EP01：あっちにも　|　那边也有
EP01：凪さん凪さん　見て　こんなに　|　凪姐凪姐 你看 有这么多
EP01：壮観だろ　|　很壮观吧
EP01：ペグマタイト鉱床と呼ばれるものだ　|　这是所谓的伟晶岩矿床
EP01：これは岩盤の亀裂に流れ込んだマグマが固まった物で　|　是岩浆流入岩层裂缝中冷却后形成的
EP01：その際　マグマ成分の一部が気化するが　|　此时 岩浆的部分成分会发生汽化
EP01：気体は外に逃げられず　|　但气体无法逸出
EP01：マグマ内部にたまり　空間を作る　|　于是在岩浆内部积聚形成空洞
EP01：この空間の部分に水晶が出来るんだ　|　水晶就是在这个空洞中形成的
EP01：空間は晶洞といって　|　这个空洞叫晶洞
EP01：瑠璃ちゃん？　|　琉璃？
EP01：これもいい　|　这个不错
EP01：こっちもきれい　|　这个也很漂亮
EP01：全部持って帰ろう　|　全带回去吧
EP01：帰りも歩くんだからな　|　还得走回去的
EP01：よく選びな　|　要好好选哦
EP01：これがいい　|　这个好
EP01：この　割れろ　この　|　真是的 快下来 你这家伙
EP01：瑠璃ちゃん　代わろうか　|　琉璃 要不要换我来
EP01：私のだからね　わかってますよね　|　这个是我的哦 你明白的吧
EP01：破片が飛ぶよ　離れてな　|　会有碎片飞出来的 离远点
EP01：いや　さすがにここの石英岩は硬いな　|　这里的石英岩真是硬啊
EP01：うそ　あれでもだめなの　|　不是吧 这样都不行
EP01：よし　こいつの出番だな　|　好 轮到这家伙出场了
EP01：先に謝っておく　|　先提前说声抱歉
EP01：もしかしたら手元が狂って水晶を壊してしまうかも　|　我说不定会失手把水晶砸坏
EP01：だめです　上手に割ってください　|　不行 请一定要好好把它敲下来
EP01：ブラックだけど　いいか　|　黑咖啡可以吗
EP01：はい　我慢します　|　可以 我会忍住的
EP01：いつ見ても圧倒されるよ　|　每次看到都觉得震撼啊
EP01：この景色を作るために　|　为了打造这片景色
EP01：自然はどれだけのエネルギーと時間と偶然を必要としたんだろうな　|　大自然究竟付出了多少能量 时间还有偶然呢
EP01：私には壮大すぎて全然わかりませーん　|　太宏大了 我完全搞不懂
EP01：そうか　|　是吗
EP01：だけど　この石は私の宝物です　|　不过 这块石头是我的宝物
EP01：きっと世界でいちばんきれいな石なんです　|　一定是世界上最漂亮的石头
EP01：それだけはわかります　|　唯独这点我能确定
EP01：こんな場所　日本にはないと思ってました　|　我还以为日本没有这种地方
EP01：水晶は最も一般的な鉱物だ　|　水晶是最常见的矿物之一
EP01：規模はともかく　採れる場所なら全国にある　|　不论规模 全国各地都能采到
EP01：みんな知らないだけでね　|　只是大家不知道而已
EP01：４枚ものプレートがひしめき合う　|　受到四大板块交错挤压
EP01：この国の地下はにぎやかだ　|　这个国家的地下运动很剧烈
EP01：災害も起こすが同時に　|　虽然也会带来灾害
EP01：この国を世界有数の鉱物産地にもしている　|　但同时也让这片土地成为世界屈指可数的矿物产地
EP01：ルビー　サファイア　トパーズ　金　銀　銅　|　红宝石 蓝宝石 黄玉 金 银 铜
EP01：存在しないといわれていたダイヤモンドだって見つかった　|　甚至还发掘出了被断言不可能有的钻石
EP01：これほど狭い範囲に　|　能在这么狭小的国土里
EP01：主要な宝石がほぼ出そろう国は他にはないよ　|　几乎凑齐所有主要宝石的国家仅此一个
EP01：それは私でも採りに行けますか　|　我也能去采吗
EP01：自然が相手だからな　多少は知識がないと　|　毕竟要面对大自然 多少得有点知识才行
EP01：だったら　|　既然如此
EP01：だったら　凪さんが教えてください　|　既然如此 就请凪姐教我吧
EP01：悪い　悪い　|　抱歉抱歉
EP01：なかなか強引だな　|　还真是强硬啊
EP01：今度　ガーネットを採りに行こうかと思ってるんだが　|　下次 我打算去采石榴石
EP01：ガーネット　|　石榴石
EP01：一緒に行くかい　|　要一起去吗
EP01：行きます　|　我要去
EP01：ガネット　|　石榴石
EP01：ガガガガネット　ガネット　|　石榴石啊 石榴石
EP01：結構歩いたが　さて　どこか　|　走了挺远了 到底在哪呢
EP01：あそこから下りられそうだ　|　那边看起来能下去
EP01：瑠璃ちゃん　行ってみよう　|　琉璃 我们去看看吧
EP01：もう凪さん　私たち　友達でしょ　|　凪姐 我们已经是朋友了吧
EP01：瑠璃でいいってば　|　不用加敬称了
EP01：じゃあ　行こう　瑠璃　|　那我们走吧 琉璃
EP01：行こう　行こう　|　走吧走吧
EP01：思ったより道になってるな　|　比想象中好走呢
EP01：人は通っているようだ　|　看样子有人走过
EP01：誰かが割った跡だ　|　有其他人采集过的痕迹
EP01：近い　近いぞ　|　很近了很近了
EP01：ガーネットは近い　|　石榴石就在附近
EP01：何かあるな　|　这好像有什么东西
EP01：ここか　|　是这里吗
EP01：これは　参ったな　|　这下没办法了
EP01：どういうこと　|　怎么回事
EP01：文字どおりだ　|　字面意思
EP01：残念ながらここから先へは進めない　|　很遗憾不能继续前进了
EP01：本で紹介されていたから大丈夫と思ったんだがな　|　书上都介绍了我还以为可以采呢
EP01：でも　誰も見てないよ　|　但是根本没人看管啊
EP01：すまない　私はやらない　|　抱歉 我不会这么做的
EP01：なんなの　この看板　|　怎么回事啊 这个告示牌
EP01：こら　|　喂
EP01：物に当たってもしかたないだろ　|　对着告示牌发脾气也无济于事
EP01：だって凪さん　こんな物がなければ私たち…　|　但是凪姐 没这告示牌我们就能…
EP01：だめだ　そういうことをされると　|　不行 你这样做的话
EP01：私は瑠璃をどこへも連れていってやれなくなる　|　我就不能再带你去任何地方了
EP01：改めてくれるか　|　你能遵守规矩吗
EP01：禁止と言われたら従うしかない　|　规定禁止那我们就只能遵守
EP01：それは絶対だ　|　这是绝对的
EP01：そこが土砂災害の危険地帯であったり　|　那地方可能是泥石流的危险地带
EP01：環境保護が必要な場所であったりすることもある　|　也可能是需要保护环境的地方
EP01：よそから来た私たちでは気付きにくい事情も多いが　|　许多内情我们外来者很难注意到
EP01：禁止されているのには必ず理由があるんだよ　|　但禁止采集肯定有它的理由
EP01：でも　ちょっとだけでも探したかったな　|　但就算是一会 我也想去找找
EP01：じゃあ　探そう　|　那就去找吧
EP01：凪さん　ここ以外に採れる場所知ってるの？　|　凪姐 你还知道这附近有别的地方能采到？
EP01：いや　知らない　|　我不知道
EP01：だが　ここじゃなければ採れないではないと思う　|　但不见得非得这里才能采到
EP01：石は動く　|　石头是会移动的
EP01：私たちが思っている以上にな　|　而且超乎我们的想象
EP01：石は動くね　|　石头是会移动的
EP01：うん　石は動かない　|　嗯 石头不会动
EP01：瑠璃　来てくれ　|　琉璃 快来
EP01：あーい　|　好
EP01：ここではハンマーではなく　このふるいを使う　|　在这我们不用锤子而用筛子
EP01：ねえ　凪さん　|　那个 凪姐
EP01：ほんとに川の底にガーネットなんてあるの　|　河底真的有石榴石吗
EP01：そうだ　砂利をふるいにかけてよく探しな　|　有的 筛筛砂砾碎石好好找找吧
EP01：本当に　|　真的吗
EP01：ここあの山と全然違う場所じゃん　|　这里跟那座山完全不一样啊
EP01：まあ　離れた場所を探すのは不思議に思うかもな　|　你也许觉得在离这么远的地方找很不可思议
EP01：だが　この川をどれだけ探しても　|　但你就算把这整条河翻个遍
EP01：最初からこの場所にあった石なんて１つもないんだよ　|　也找不到一块原本就在这的石头
EP01：確かに　ガーネットはもともと川から離れた山の中にある　|　石榴石原本的确是在远离河流的山里
EP01：山中で雨風にさらされ続けた岩石は　|　但山中岩石长期受风雨侵蚀
EP01：劣化し　|　会逐渐风化
EP01：いつか崩れ落ちる　|　终有一天会崩落
EP01：あとは川の流れで運ばれ　削られ　下っていく　|　然后被河水冲刷 侵蚀 向下游流去
EP01：確かに一見距離は離れている　|　乍一看距离确实很远
EP01：だが　この川は　|　但这条河
EP01：あの山のガーネットとつながっているんだ　|　是和那座山的石榴石连结在一起的
EP01：あくまで推測だ　|　不过说到底也只是推测
EP01：本当に見つかるかどうかは…　|　能不能找到…
EP01：凪さん　|　凪姐
EP01：きれいな結晶だな　ガーネットだ　|　很漂亮的结晶
EP01：ガーネットだ　|　是石榴石
EP01：やった　やった　やった　|　太棒了太棒了太棒了
EP01：よっし　|　太好了
EP01：見つかってよかった　|　能找到真是太好了
EP01：やはりここまで流れてきていたんだな　|　果然流到这来了
EP01：さあ　私も手ぶらじゃ帰れなくなったぞ　|　我也不能空手而归
EP01：よーし　もっと見つけるぞ　|　好 我要找出更多来
EP01：ない　全然ない　|　没有 完全没有
EP01：凪さんは　|　凪姐呢
EP01：私も２つだけだ　|　我也只找到两颗
EP01：２つも　|　两颗
EP01：凪さん　ずるい　|　凪姐真狡猾
EP01：なんか特別な探し方してない　|　你是不是有什么特别的找法
EP01：特別？　|　特别？
EP01：ガーネットは比重の大きい　つまり重い鉱物だ　|　石榴石比重较大 也就是所谓的重矿物
EP01：これは一度沈殿すると　|　它一旦沉淀下来
EP01：再び動くには軽い物質よりも強い力が必要だが　|　想要再次移动就需要比轻物质更强的力
EP01：流れが弱い場所だと動くに動けず　|　在水流弱的地方它无法移动
EP01：そこにたまり続けるということだ　|　所以会在那不断堆积
EP01：だから　|　所以
EP01：お願い　凪さん　もっと簡単に教えて　|　拜托了凪姐 教我更简单的方法吧
EP01：それなら　大きな石の下流側を探そう　|　那么 就去大石头下游的一侧找吧
EP01：そこなら　流れがよどみ　|　那里水流较缓
EP01：ガーネットがたまりやすい　|　石榴石容易堆积
EP01：大きな石　大きな石ねえ　|　大石头 大石头
EP01：あれ　大きいじゃん　|　那边那块就很大嘛
EP01：だが　対岸だ　|　但是在对岸啊
EP01：確かに見つかりそうな場所には見えるが　|　看起来确实像是能找到的地方
EP01：浅い所行けば平気だって　|　从水浅的地方过去应该没问题
EP01：私が責任持って凪さんを安全に連れてくから　|　我会负起责任把凪姐安全带过去的
EP01：どんと任せて　|　放心交给我吧
EP01：よーし　探すぞ　|　好 开找吧
EP01：あった　|　找到了
EP01：すごい　|　真厉害啊
EP01：あの山からこんなに流れてきてるんだ　|　从那座山上流下来这么多啊
EP01：「石は動く」なんて凪さんが言い始めたときは　|　凪姐刚开始说「石头会动」的时候
EP01：どうなるかと思ったけど　|　我还不知道是怎么回事
EP01：わかれば簡単な話だよね　|　但明白后还是挺简单的嘛
EP01：山から川に来てずっと流されて　|　从山中到河里一直移动
EP01：最後は海まで行きまーすってそういう話でしょ　|　最后流向大海对吧
EP01：いや　海で終わりじゃないぞ　|　不 海里可不是终点哦
EP01：もう行くとこないじゃん　|　已经没地方可去了吧
EP01：例えば　エベレスト山頂　|　比如说 珠穆朗玛峰峰顶
EP01：あそこはかつての海底だ　|　那里也曾是海底
EP01：石は海底から山を登ることもある　|　石头也能从海底登上高山
EP01：プレートの移動に巻き込まれれば地下にも潜り　|　受板块运动影响 还会潜入地下
EP01：その後　火山の一部になって　|　之后成为火山的一部分
EP01：噴火すれば空も飛ぶ　|　火山喷发时还会飞上天空
EP01：行動範囲は人間以上　|　其行动范围比人类广得多
EP01：私たちには止まって見えるのは　|　在我们看来它是静止的
EP01：それが人間の時間感覚と全く違う　|　是因为它们的时间尺度与人类完全不同
EP01：数万年　数十万年は当たり前というスケールで動いているからだ　|　它是以数万年 数十万年为基本单位在移动
EP01：これは鉱物採集では大事な視点だ　|　这在矿物采集上是很重要的视角
EP01：今回みたいに場所を探す役にも立つからな　|　比如有助于像这次这样寻找采集地点
EP01：それってガーネットがどこにあるかわかるってこと？　|　意思是能知道石榴石会在哪里出现？
EP01：だったらもっと探そうよ　|　那我们再多找点吧
EP01：そうだな　探すとしたら　|　也是呢 要找的话
EP01：上流のほうか　|　可能要去上游
EP01：支流で土石流でもあったか　|　可能支流发生过泥石流呢
EP01：だいぶ昔のようだが　|　看起来已经过了很久了
EP01：水流が複雑に入り組んでるな　|　水流在这里变得错综复杂
EP01：この周辺でどこか　|　可能就在这附近的某处
EP01：瑠璃　見てみな　|　琉璃 看那边
EP01：もっと採ってくればよかったかな　|　是不是该多采点呢
EP01：これ以上あってもしかたないだろ　|　再多也没啥用吧
EP01：ねえ　あの場所ってガーネットだけすっごい集めてたじゃん　|　那个地方不是聚集了许多石榴石吗
EP01：あんなの自然に出来るもんなの　|　那是自然形成的吗
EP01：あの場所が作り出した複雑な流れが　|　大概是那的复杂水流
EP01：鉱物をより分けていたんだろうな　|　把矿物都筛选分开了吧
EP01：鉱物は種類ごとに比重が違うから　|　因为不同矿物的比重不同
EP01：不可能ではないかもしれないが　|　所以也不是不可能
EP01：とにかく　|　总而言之
EP01：くもの糸で綱渡りをするようなバランスが必要なはずだ　|　需要像在蜘蛛丝上走钢丝般的平衡
EP01：今　あそこにある石たちも　|　现在那里的石头
EP01：日々川に削られ動いている　|　每天都受到河水冲刷而移动
EP01：その均衡が崩れるまで　|　到那平衡被打破
EP01：あと数日か　数百年か　|　可能还有几天 也可能还有几百年
EP01：なくなっちゃうのか　|　会消失吗
EP01：もったいない　|　真可惜
EP01：じゃあ　瑠璃　そろそろ帰ろうか　|　好了 琉璃 差不多该回去了
EP01：凪さん　見てて　|　凪姐 看好了
EP01：それ　|　我扔
EP01：ねえ　今の石　海まで流れてくよね　|　刚才的那石头会流到海里去吧
EP01：ああ　いずれはな　|　迟早会的
EP01：100万年たったら　|　说不定100万年后
EP01：エベレストみたいな山の頂上にあったりする　|　它会出现在像珠穆朗玛峰那样的山顶上
EP01：そうかもしれないな　|　也许吧
EP01：いや　もしかしたら隕石の衝突で　|　不 说不定还会因为陨石撞击
EP01：宇宙まで吹っ飛ばされたりするかも　|　飞到宇宙去呢
EP01：まっさか　何それ　|　怎么可能
EP01：お願い　お願い　|　求你了求你了
EP01：来月のお小遣い前借りさせて　|　让我预支下个月的零花钱嘛
EP01：また同じようなこと言って　|　又在说这种话
EP01：で　今度は何　|　这次又是要买什么
EP01：服？化粧品？　|　衣服？化妆品？
EP01：ううん　|　不
EP01：それよりももっといい物　|　是比那些更棒的东西
EP01：#第一次矿物采集
EP01：#市营巴士 山道南部入口 乘车点
EP01：#大家齐心协力 保护美丽青山
EP01：#岩层
EP01：#冷却逐渐凝固的岩浆
EP01：#龟裂
EP01：#由于岩浆流动拉扯所以不为圆形。
EP01：#水或二氧化碳之类的气体
EP01：#北美洲板块 亚欧板块 太平洋板块 菲律宾海板块
EP01：#有一种矿物名为石英，它在世间被人们亲切地称为水晶。在英语中，水晶被称为Rock Crystal，石英则称为Quartz，这些都是它比较常见的名称​​。
EP01：#石英的化学成分为二氧化硅。由于其组成元素是构成地壳元素排行榜第1位的氧和第2位的硅，所以可以说石英是最常见的矿物之一。
EP01：#石英​​是由岩浆或受其热量影响的热液冷却时结晶形成的矿物，因此，在有火山分布的地域附近，通常都能找到它。一提到水晶，人们可能认为只有在特殊地带才能开采到，但在作为火山大国的日本，无论在哪个地区都​​有可能​​采到。
EP01：#顺带一提，构成地壳的元素排名依次为：氧、硅、铝、铁、钙、钠、钾、镁。
EP01：#氧 硅 铝 铁 钙 钠 钾 镁 其他
EP01：#石榴石​​除了作为宝石，也因其硬度一直以来被用作研磨剂。
EP01：#现在市面上销售的棕色​​砂纸​​，如果背面标有“G”，即表示「研磨剂为石榴石」。仔细观察其表面，会发现含有颜色不同的杂质，这正是天然石榴石的证明。
EP01：#直到近年，日本的砂纸都还​​使用​​国产石榴石。​​群马县产​​的石榴石中含有黑色角闪石等杂质，奈良县产​​的则偶尔会含有蓝宝石。这大概是因为密度接近而无法完全分离的缘故。
EP01：#即便是普通的砂纸，换个角度看，也能从中​​窥见​​产地的特性。大家下次去​​家居卖场​​时，​​不妨看看去砂纸区看看。
EP01：#石榴石 天然研磨剂。一直以来被用作研磨剂原材料。
EP01：#氧化铝 人工研磨剂。其组成成分实际与红宝石、蓝宝石相同。
EP01：#碳化硅 人工研磨剂。在矿物界，作为被称为莫桑石的宝石为人熟知。
EP01：#停车场
EP01：#禁止在本山采矿 森林管理局
EP01：#注：重矿物，指比重大于2.86的矿物
EP01：#沉淀 更强的力
EP01：#因为大石头会阻断水流使流速变慢 所以其下游更容易堆积
EP01：#这里
EP01：#山顶附近是距今4亿6000万年的海底。在那能发现三叶虫和海百合等海洋生物化石。
EP01：#岩浆储层 大陆板块 海洋板块地幔 含有海水的岩石在一定深度会一部分溶解成岩浆。
EP01：#耐久度优秀的锤子 你的采掘作业好伙伴!!
EP01：#金色的价值
EP01 OUT

EP02 IN
EP02：割っるぞ割っるぞー　ハンマーで　|　要敲咯要敲咯 就用这把锤子
EP02：パッカンパッカン割りまくるぞ　|　啪嗒啪嗒敲个痛快
EP02：凪さん　今日はこれ絶対使うんだよね　|　凪姐 今天肯定要用到锤子吧
EP02：使うよ　しっかり割ってくれ　|　会用到哦 尽情地敲吧
EP02：んでさ　きれいな石見つかるんだよね　|　然后能发现漂亮的石头吧
EP02：採れるよ　|　能采到的
EP02：瑠璃も気に入ると思う　|　琉璃也会喜欢的
EP02：よーし　根こそぎ持って帰るぞ　|　好耶 我要全带走
EP02：ああ　試掘跡か　|　啊 是试掘坑啊
EP02：シクツアト？　|　试掘坑？
EP02：人工的に掘った穴だよ　|　是人工挖掘的坑洞
EP02：鉱山として採掘するかどうか試しに掘ったんだ　|　是为了判断能否作为矿山开采而挖的坑洞
EP02：何を掘ってたの　|　是在挖什么呢
EP02：正確な記録は残っていないんだが　|　虽然没有确切的记录
EP02：地元の人の話だと金を狙っていたらしい　|　但听当地人说是想挖黄金
EP02：金？この山金が採れるの　|　黄金？这座山上能挖到黄金吗
EP02：掘った人はそう考えたのかもな　|　当时挖的人可能这么认为吧
EP02：だが　結局試掘で終わってるわけだし　|　但最后他们还是在试掘阶段
EP02：そもそも本当に金を狙ってたかどうかは…　|　而且也不确定他们是否真是为了黄金…
EP02：早く行かなきゃ　|　得赶紧去了
EP02：金　金　金　|　黄金黄金黄金
EP02：凪さん　こんな山奥の場所自分で探したの　|　凪姐 你是自己找到这深山的吗
EP02：まさか　ここは歴代の先輩たちが　|　怎么可能 这是历代前辈们
EP02：少しずつ情報を集めて見つけた場所の１つだ　|　一点点收集信息找到的地点之一
EP02：今日友人を案内すると言ったら　|　今天我说要带朋友来
EP02：大学の研究室からいいサンプルを採ってこいと言われたよ　|　大学研究室就要我采些好样本回去呢
EP02：私も頑張ってここの情報収集に貢献しないとな　|　我也得努力收集信息做出些贡献呢
EP02：また少し休むか　|　要再休息会吗
EP02：まだ大丈夫　|　我还可以
EP02：おっきい岩　|　好大的岩石
EP02：今日はここで探すぞ　|　今天就在这里找吧
EP02：よーし　絶対に金を見つけるぞ　|　好 一定要找到黄金
EP02：やっと５個割れた　|　总算敲开五个了
EP02：なんも出ないし　|　但啥都没有
EP02：瑠璃は無駄な力が入り過ぎだな　|　琉璃你白费太多力气了
EP02：もっとこう持ち手の下のほうを持って　|　要像这样握住锤柄下方
EP02：当てる瞬間に手首を使うんだ　|　在落锤瞬间用手腕发力
EP02：脇を締めてもっと大きく振り上げてみろ　|　腋下夹紧挥高些试试
EP02：さっきより早く割れた　|　比刚才碎得快了
EP02：うまいぞ　腕もしっかり使えてる　|　不错 手臂也用上力了
EP02：これであとは金を見つけるだけ　|　接下来只要找到黄金就行了
EP02：金を見つけたらどうしよっかな　|　找到黄金之后要做什么呢
EP02：スマホを最新のにして自転車も買い替えるでしょ　|　换最新的手机再买辆自行车吧
EP02：あともちろん　毎日朝からスイーツ…　|　当然还有甜点 要从早吃到晚…
EP02：あれ　|　咦
EP02：凪さん　やったやった　|　凪姐 找到了找到了
EP02：なんだ　どうした　|　怎么了
EP02：見て見て　金が採れた　|　快看快看 我找到黄金了
EP02：黄鉄鉱か　|　是黄铁矿吧
EP02：オーテッコ？　|　黄铁矿？
EP02：鉄と硫黄の鉱物だ　|　是由铁和硫磺组成的矿物
EP02：違う　鉄じゃないよ　|　不对 才不是铁
EP02：見て　金　超金色　|　你看 是金色 纯金色啊
EP02：あまりいい結晶じゃないが黄鉄鉱で間違いない　|　虽然结晶状况不太好但确实是黄铁矿
EP02：色だって金というより真鍮に近いだろ　|　相比金色也更接近黄铜色
EP02：そんなこと言われても全然わかんないし　|　说这些我也完全搞不懂
EP02：ちょっと待ってな　|　等一下哦
EP02：ちょっ　何やってんの　|　等等 你在干什么
EP02：ほら　|　看
EP02：今　その金色の部分を削ってみた　|　我刚才研磨了下金色的部分
EP02：黒いだろ　|　是黑色的吧
EP02：これは鉱物を粉末にした色　|　这是一种将矿物研磨成粉末
EP02：条痕色で判別する方法だ　|　通过其条痕色来鉴别的方法
EP02：水晶なら白だし　黄鉄鉱は黒　|　水晶的话会是白色 黄铁矿是黑色
EP02：本物の金なら金色で黒くならない　|　真金会保持金色而不是黑色
EP02：凪さんは私をだまそうとしている　|　感觉凪姐想骗我
EP02：私が知らないからって適当言って　|　仗着我不懂就胡说八道
EP02：金を独り占めするつもりだ　|　其实是想独吞黄金吧
EP02：困ったな　|　麻烦了啊
EP02：えっと　金色の部分を指でこすってみな　|　那你用手指搓搓金色部分
EP02：においを嗅いで　|　闻闻味道
EP02：めっちゃ鉄臭い　|　全是铁锈味
EP02：鉄だからな　|　毕竟是铁嘛
EP02：毎日３食ケーキ食べ放題の予定が…　|　每天三顿蛋糕畅享计划泡汤了…
EP02：残念だったな　|　真遗憾
EP02：でも価値は　|　但总有点价值吧
EP02：金ほどじゃなくてもこれだけきれいなら高かったり　|　就算不如黄金 这么漂亮总该值点钱
EP02：黄鉄鉱はよく見つかる鉱物だ　|　黄铁矿是常见矿物
EP02：金銭的な意味での価値は高くないな　|　以金钱来衡量价值并不高
EP02：もう　なんなの　この石は　|　真是的 这破石头怎么回事
EP02：こんな期待させる見た目しておいてなんかいいとこないの　|　外表这么令人期待就没什么优点吗
