EP01 IN
EP01：世界の終わりって　一体どんな風に来るんだろう　|　世界的终结会以何种形式到来呢
EP01：出身地　経歴　病歴から靴のサイズまで　|　出生地 经历 病史 甚至是鞋码
EP01：嬉しいね　|　真高兴
EP01：でお願いって何　|　那请求是什么
EP01：ハプナは知ってるわね　|　你知道哈普纳吧
EP01：もちろん　むしょん中でも大流行り　|　当然 在监狱里也很流行
EP01：犯行声明は　|　犯罪声明呢
EP01：それ知らない　|　我不知道
EP01：ついさっき　全世界の動画サイトに　この動画がアップされた　|　刚才 这段视频上传到了全球的视频网站
EP01：この３年間行方のわからなかった　スキナー博士が帰ってきたの　|　这三年下落不明的斯金纳博士回来了
EP01：もし君が痛みを全く感じないのなら　|　如果你感受不到任何痛苦
EP01：それは死んでいるのと同じだ　|　那就等于是死了
EP01：残念ながら　ハプナに依存した人類は今　死んでいるも同然だ　|　很遗憾 依赖哈普纳的人类现在等同于死了
EP01：そして人類は今　目先の利益に囚われ　|　而现在 人类被眼前的利益束缚
EP01：人間同士の争いをやめず　地球環境を取り返しのつかないほど破壊し　|　互相之间纷争不止 将地球环境破坏到无法挽回的地步
EP01：多くの命を奪い続けている　|　不断夺走众多的生命
EP01：それが人間という生き物の本質だというのが　私の科学者としての結論だ　|　作为科学家 我的结论是 这就是人类这种生物的本质
EP01：嘘　|　不会吧
EP01：そんなことが許されるだろうか　|　那种事真的能被允许吗
EP01：我々人類は　大きな罰を受けるべきじゃないのか　|　我们人类不该受到巨大的惩罚吗
EP01：私が開発したハプナは　実はただの鎮痛剤ではない　|　我开发的哈普纳其实并不仅仅是止痛药
EP01：それは体内にとどまり続け　服用から３年後に突然変異し　|　它会在体内持续停留 服用的三年后突然变异
EP01：人を死に至らしめる　|　导致人类死亡
EP01：始まりやがった　|　开始了
EP01：それを中和することも排出することも不可能だ　|　这种药无法被中和或排出
EP01：私は神になったつもりじゃない　|　我不打算扮演神
EP01：人間に生き延びる価値があるかどうか一方的に決めつけるつもりはない　|　我不打算单方面决定人类是否有活下去的价值
EP01：私はただの　７番目のラッパ吹きに過ぎないのだ　|　我只不过是第七位吹号者罢了
EP01：マジか　|　认真的吗
EP01：今から30日後に　最初の死者が出るだろう　|　30天后 最初的死者就会出现吧
EP01：そして私は　特効薬を手にしている　|　而我手中有特效药
EP01：あと30日　それまでに私の居場所を見つけ出せば　|　还有30天 如果能找到我的所在之处
EP01：人類は生き延びられる　|　人类就能活下去
EP01：先生　|　老师
EP01：突然ですが帰ります　|　抱歉 我要回去了
EP01：あともう来ないと思います　|　还有 我应该不会来了
EP01：なんで　|　为什么
EP01：なんでって…　|　为什么…
EP01：もう学校とか意味なくない　|　上学已经没意义了吧
EP01：果たして人類に生き延びる価値があるのかどうか　|　究竟人类是否有活下去的价值
EP01：それは君たち自身が決めるといい　|　就由你们自己决定吧
EP01：彼は　誰よりも平和と平等を求めた　聖人のような人物だった　|　他曾经比任何人都更追求和平与平等 仿佛圣人
EP01：それが戻ってきたら　悪魔になってたってこと？　|　结果他回来了 却变成了恶魔？
EP01：彼を見つけてほしいの　|　我希望你去找到他
EP01：それが私のお願い　|　这就是我的请求
EP01：時間だ　|　时间到了
EP01：俺のことは全部調べたんでしょ　|　你应该彻底调查过我了吧
EP01：ええ　|　嗯
EP01：じゃあ知ってるよね　|　那你应该知道吧
EP01：脱獄の常習犯ってこともさ　|　我是个越狱的惯犯
EP01：早くしろ　|　搞快点
EP01：慌てんなって　|　别急嘛
EP01：おい　貴様　|　喂 你这家伙
EP01：動くなよ　|　别动
EP01：こいつを外してくれる　|　能把这个解开吗
EP01：動くな　|　别动
EP01：３階へ逃げたぞ　急げ　|　他逃到三楼去了 快追
EP01：頼む　俺も出してくれ　|　拜托 把我也放出去
EP01：くそたれが　|　混账东西
EP01：はい　|　如何
EP01：逃げられた　車をすぐ回して　|　他逃走了 立刻开车来
EP01：あっという間に飛んでったわ　|　一下子就飞走了
EP01：まるでカゴから出された鳥みたいにね　|　就像是从笼子里放出来的鸟一样
EP01：了解　|　收到
EP01：リーランド　|　利兰
EP01：クリス　|　克里斯
EP01：うっす　|　嘿
EP01：なんか機嫌いいじゃん　|　你看起来心情不错嘛
EP01：そうかな　|　是吗
EP01：そうだよ　|　是啊
EP01：人類最大のピンチがそんな嬉しいわけ　|　人类面临最大的危机 你这么高兴吗
EP01：いや　そういうわけじゃあ　|　倒也不是
EP01：じゃあ何　|　那是什么
EP01：だから　もう無理して学校とか行かなくていいんだなってことに気がついて　|　是我意识到 我不用再勉强自己去学校了
EP01：そうでしょ　|　对吧
EP01：この若造　|　你小子
EP01：何　|　怎么啦
EP01：猫だ　|　猫
EP01：可愛い　|　好可爱
EP01：可愛くねえ　|　不可爱
EP01：エレイナ　警察無線とGPSに張り付いて　|　艾蕾娜 盯住警察的无线电和GPS
EP01：了解　|　收到
EP01：まったく　|　真是的
EP01：なんて男なの　|　那男人怎么回事
EP01：今頃警察に撃たれて死んでるかもしれませんよ　|　现在可能已经被警察打死了
EP01：そんなことないわ　|　不会的
EP01：そんな男じゃない　|　他不是那种人
EP01：警察の方でも　まだ見つかってないみたい　|　警察那边好像还没有找到他
EP01：了解　|　收到
EP01：そのまま続けて　|　继续盯住
EP01：臨時ニュースです　|　突发新闻
EP01：先ほどのスキナー博士の声明を受け　各地で混乱が起きている模様です　|　刚才斯金纳博士的声明似乎引发了各地的混乱
EP01：一部では暴動に発展しつつあり　|　部分地区发展为暴动
EP01：また　製薬会社に対する放火なども相次いでいます　|　此外 针对制药公司的纵火事件也接连发生
EP01：皆さん　|　各位
EP01：どうか落ち着いて行動してください　|　请冷静行动
EP01：我々は　専門のチームを結成し　ハプナの特効薬開発に全力で取り組みます　|　我们会组建专门小组 全力开发哈普纳的特效药
EP01：スキナーは頭がおかしくなったとしか思えんね　|　斯金纳一定是疯了
EP01：一体何のためにこんなことをしたのか　|　他到底是为什么做这些事
EP01：ハプナを使用した人は本当に助からないんですか　|　使用哈普纳的人真的没救了吗
EP01：政府は特効薬を開発すると言ってますが　|　政府说会开发特效药
EP01：30日じゃあとても無理だね　|　30天肯定不够
EP01：特効薬が出回る頃には　誰も生きていない可能性だってある　|　等特效药出来 可能已经没人活着了
EP01：今回の声明を受け　製薬会社各社は一斉にハプナの販売中止　|　收到该声明后 各制药公司都宣布停止销售哈普纳
EP01：及び　既に流通している分についても　全面的に回収すると発表しました　|　并全面回收已经流通的产品
EP01：ついに今　ハルマゲドンの時が訪れました　|　终于 哈米吉多顿之战到来了
EP01：我々はこの終末を　どのように受け入れるべきなのか　|　我们应该如何面对这个终局呢
EP01：ニューヨーク証券取引所では　ダウ工業平均株価が史上最大の下落を記録しました　|　在纽约证券交易所 道琼斯工业平均指数创下历史最大跌幅
EP01：これはブラックマンデーを遥かに凌ぐものです　|　这远远超过了黑色星期一
EP01：そこの兄ちゃん　|　那位小哥
EP01：なんだその格好は　|　怎么穿成这样
EP01：最近はそういう　囚人ファッションが流行ってんのか　|　最近流行这种囚犯风格吗
EP01：そうそうそれ　|　没错没错
EP01：それとも本当に脱獄犯だったりしてな　|　该不会你真是越狱犯吧
EP01：まさか　|　怎么会
EP01：まあ　そんなわきゃないか　|　确实 应该不可能
EP01：そうそう　そんな間抜けな脱獄犯いないって　|　是啊 没有这么傻的越狱犯
EP01：あちこちで暴動が起きてる　うろうろしてると危ないぞ　|　到处都在发生暴动 乱跑很危险哦
EP01：気をつけます　|　我会小心的
EP01：早く帰れよ　|　早点回家吧
EP01：緊急通信　|　紧急通讯
EP01：ノースポート刑務所より囚人が一名　脱獄して市街地を逃走中　|　诺斯波特监狱中一名囚犯越狱 正在市区逃窜
EP01：脱獄犯はアクセル・ジルベルト　23歳　|　越狱犯是阿克塞尔·吉尔贝托 23岁
EP01：これより写真を送る　|　接下来发送照片
EP01：あいつ　|　那家伙
EP01：そうか　|　这样啊
EP01：事態の進展は　我々の予測を超えている　|　事态的发展超出了我们的预期
EP01：それに　こちらが動いていることを知れば　彼らは証拠隠滅の方向で動くだろう　|　而且如果他们知道我们在行动 就会销毁证据
EP01：迅速且つ秘密裏にことを進めねばならん　|　我们必须迅速且秘密地推进
EP01：わかっています　|　我明白
EP01：ハプナの解析状況は　|　哈普纳的解析情况如何
EP01：進行中だが　困難を極めていると言っていい　|　正在进行 但可以说极其困难
EP01：まるで天才の作りし芸術品だ　|　那简直是天才创作的艺术品
EP01：短期間でワクチンを作るのはほぼ不可能と言っていい　|　在短时间内制造出疫苗几乎是不可能的
EP01：つまり　我々にとっても　スキナー博士を見つけるしか手はないと　|　也就是说 我们只有找到斯金纳博士这一个办法
EP01：そういうことだ　|　没错
EP01：最後の一人　彼はどうした　|　最后一个人 他怎么样了
EP01：逃げられました　|　他逃走了
EP01：しかし　必ず捕らえます　|　但我们一定会抓住他
EP01：彼らは我々にとって　最後の希望なのかもしれん　|　他们或许是我们最后的希望
EP01：脱獄犯　アクセル・ジルベルト　|　越狱犯 阿克塞尔·吉尔贝托
EP01：抵抗はやめておとなしく投降しなさい　|　停止抵抗 乖乖投降
EP01：俺？　|　我？
EP01：面白え　|　有趣
EP01：ちょっと　|　干什么
EP01：いたぞ　あちだ　|　找到了 在那边
EP01：ターゲット現れました　中央駅です　|　目标出现 在中央车站
EP01：了解　すぐ向かう　|　收到 立刻出发
EP01：あれ　|　奇怪
EP01：なんか道じゃないとこを走ってるみたい　|　他好像在不是路的地方跑着
EP01：OK　お客さんね　|　OK 有客人了
EP01：止まりなさい　アクセル・ジルベルト　|　停下 阿克塞尔·吉尔贝托
EP01：中央駅に　堂々と来たって？　|　听说他大摇大摆去了中央车站？
EP01：ああ　やっと来やがった　|　是 他终于出现了
EP01：エレイナ　奴の動きの予測位置を割り出せるか　|　艾蕾娜 能预测他的行动路线吗
EP01：出来ます　|　能
EP01：すぐ送ります　|　马上发给你
EP01：予想進路出ました　共有します　|　预测路线出来了 共享给你
EP01：了解だ　|　收到
EP01：クリス　聞こえるか　|　克里斯 听得见吗
EP01：今から座標を送る　先回りして　|　我马上发坐标 你绕到前面
EP01：奴を北北西に誘導してくれ　|　把他诱导到西北偏北方向
EP01：発砲許可は　|　开枪许可呢
EP01：もう取ってある　|　已经得到了
EP01：まあ　素敵　|　很好
EP01：くれぐれも人に当てるな　|　千万别打到人
EP01：建物も壊すなよ　|　也别破坏建筑
EP01：止まりなさい　アクセル・ジルベルト　|　停下 阿克塞尔·吉尔贝托
EP01：援護頼む　|　掩护我
EP01：了解です　|　收到
EP01：動くな　|　别动
EP01：ショーは終わりだ　|　表演结束了
EP01：両手を挙げてもらおうか　|　麻烦举起双手
EP01：なるほどね　|　原来如此
EP01：このビルに誘導されてたってわけか　|　我被诱导到这栋大楼了啊
EP01：そういうことだ　|　没错
EP01：待てよ　|　等等
EP01：このまま顔も見ないで死ぬんじゃ浮かばれねえ　|　如果没看到你就死了 我无法瞑目
EP01：せめて名前を教えてくれ　|　至少告诉我你的名字
EP01：ダグラス・ハディン　|　道格拉斯·哈丁
EP01：俺の墓石に刻んどくよ　|　刻在我的墓碑上
EP01：「ダグとかいう卑怯者に　背中から撃たれて死んだ」ってな　|　「被一个叫道格的卑鄙小人 从背后开枪杀死了」
EP01：その手は食わんぞ　|　我不会上当
EP01：俺をわざと怒らせて　得意の接近戦に持ち込もうってんだろ　|　你是想故意激怒我 把我引入你擅长的近战吧
EP01：バレてた？　|　暴露了？
EP01：どの道お前はここで終わりだ　|　不管怎样 你无路可逃了
EP01：人間は飛ぶようにできてない　普通はな　|　按常理 人类天生不会飞
EP01：普通じゃつまんないぜ　|　按常理来太无趣了
EP01：試してみるか　|　要试试吗
EP01：お兄さん　こっち向いて　|　小哥 看这边
EP01：すごいじゃん　|　好厉害啊
EP01：どうしよう　なんか最高のショーでも見たって感じ　|　怎么说呢 好像看了场超棒的表演
EP01：いや　|　不
EP01：逃げてただけなんだけどね　|　我只是在逃跑
EP01：あの　|　那个
EP01：ツーショット　いいかな　|　能合个影吗
EP01：いや　俺…　|　不 我…
EP01：やった　|　太好了
EP01：はい　|　来
EP01：じゃあ　321　スマイル　|　321 笑一个
EP01：なんだこりゃ　|　这是什么
EP01：やっと起きた　|　终于醒了
EP01：知ってた　あんたまる一日寝てたんだよ　|　知道吗 你睡了整整一天
EP01：全然起きないからさ　|　一直不醒
EP01：もう死んだのかと思ったよ　|　还以为你死了呢
EP01：お前ら確か　夢に出てきた…　|　你们 好像是梦里的…
EP01：それは夢じゃない　|　那不是梦
EP01：ようやく会えたわね　|　终于见面了
EP01：何がなんだかさっぱりわかんねえな　|　完全不明白是怎么回事
EP01：あんたら一体誰なんだ　|　你们究竟是谁
EP01：私たちは「ラザロ」　|　我们是「拉撒路」
EP01：歓迎するわ　アクセル・ジルベルト　|　欢迎你 阿克塞尔·吉尔贝托
EP01：#诺斯波特监狱
EP01：#再见 残酷的世界
EP01：#注：《新约圣经·启示录》记载，七位天使吹号，灾难降临人间
EP01：#注：《新约圣经·启示录》所预言的善恶对决最终战场
EP01：#巴比伦尼亚城
EP01：#快车道上的生活
EP01 OUT

