EP01 IN
EP01：行ってきます　|　我出门啦
EP02：おはようございま…　|　早上好…
EP02：乙ちゃん　今の青年　君に見惚れて標識にぶつかってたぞ　|　小乙 刚刚那小伙看你看入神撞到路标上了
EP02：土手沿いの一直線の通学路　|　上学路沿着河堤不断延伸
EP02：大勢のお嬢様が練り歩く　|　大小姐们悠哉地结伴而行
EP02：なんて爽やかな通学風景だ　|　何等爽朗的上学风景呀
EP02：青春の津波って感じがしないかい　乙ちゃん　|　感受到青春之浪的拍打了吗 小乙
EP02：昔の青春ドラマのオープニング宛らだと私は思うけれどね　|　在我看来宛如过去青春剧的主题曲一般
EP02：あの…　|　那个…
EP02：気やすく話しかけないで　もらえますか　|　可以不要随便跟我搭话吗
EP02：おっちゃん　|　小乙
EP02：ごきげんよう　|　贵安
EP02：ごきげんよう　のどか　麻里　|　贵安 和 麻里
EP02：おっちゃん　こちらは？　|　小乙 这位是？
EP02：はじめまして　私は…　|　初次见面 我叫…
EP02：この人は　若作先輩だよ　|　这人是装嫩前辈
EP02：失礼しました　若作先輩　|　失敬了 装嫩前辈
EP02：みんな急がないと　|　要抓紧时间了
EP02：あなたなんて認めない　|　我不会认可你这种人的
EP02：蓮兄に色目使わないで　|　不要再诱惑莲哥了
EP02：私は…　|　我…
EP02：この団地妻　|　你这团地妻
EP02：団地？　|　团地？
EP02：何か気に触ったなら謝れよ　|　有什么让你不爽的我道歉
EP02：だがそうだとしても　団地妻に相手をなじる意味はないぞ　|　不过 团地妻可没有指责的含义哦
EP02：事件？　|　事件？
EP02：奇妙な理由で不登校になる生徒が多数出ており　|　最近冒出了许多因奇怪理由不上学的学生
EP02：十中八九それは怪異と関係しています　|　十有八九和怪异相关
EP02：菫子さん　|　堇子小姐
EP02：事件の正体を見定めてきてください　|　请你调查出事件的真相
EP02：ごきげんよう　お姉さま　|　贵安 姐姐大人
EP02：ごきげんよう　|　贵安
EP02：あら　タイが曲がっていてよ　|　哎呀 领结歪掉了哦
EP02：あんまり周りをじろじろ見ないで　|　别瞪着眼睛到处看了
EP02：あら　化野さん　ごきげんよう　|　化野同学 贵安
EP02：ごきげんよう　畦目先生　|　贵安 畦目老师
EP02：あら　|　咦
EP02：先輩もう行かないと　|　前辈 快走了
EP02：そちらのあなた…　|　这一位是…
EP02：ごめんなさいね　|　不好意思
EP02：お名前は何だったかしら　|　你叫什么名字来着
EP02：若作先輩です　|　是装嫩前辈
EP02：失礼します　|　我们先走了
EP02：団地妻　|　团地妻
EP02：とにかく放課後までじっとしてて　|　总之到放学前你就老实待着
EP02：嘘だろ　|　不是吧
EP02：団地妻　|　团地妻
EP02：乙ちゃん　|　小乙
EP02：私は…私は…　|　我…我…
EP02：麗しい女子中高生とキャッキャする予定だったんだ　|　我计划要和美妙的女中学生谈笑风生的
EP02：なのに　どうして私は６時間51分も　|　但是 为什么过去的6小时51分钟里
EP02：尻肉を便座になじませる作業をさせられているんだ　|　我一直在让屁股肉适应这个马桶啊
EP02：これ　|　这个给你
EP02：まさか　女子校で便所飯をしろと　|　居然要我在女子高中吃厕所饭
EP02：キャッキャウフフの予定は　|　谈笑风生的计划呢
EP02：そんな予定はない　|　没有这种计划
EP02：永遠に　|　永远没有
EP02：永遠に　|　永远
EP02：待ってくれ　|　等等
EP02：どこに行くんだ　|　你要去哪
EP02：怪異があったはずの場所　|　应该发生过怪异的地方
EP02：あったはず？　|　应该发生过？
EP02：ここ　|　这里
EP02：ここに何かがあった印がある　|　这里有发生过什么的印记
EP02：何も見えないが　|　我什么都看不见
EP02：やっぱり　|　果然
EP02：馬鹿にしないから話してくれよ　|　我不会嘲笑你的 和我讲讲吧
EP02：私はこの手の話に目がないんだ　|　我特别喜欢这种故事
EP02：ここにあるのは　|　这里存在着
EP02：何かがあった跡の違和感みたいな　|　某种事发生过的痕迹 一种违和感
EP02：蓮兄は便宜的に標識って呼んでる　|　莲哥姑且把它称之为标识
EP02：つまり　その標識とやらがあるところには　|　也就是说 有这个所谓标识的地方
EP02：何かしらの怪異が存在した　|　曾经存在过某种怪异
EP02：ということでいいんだね　|　是这么回事吧
EP02：そう　|　是的
EP02：信じてくれるの　|　你肯相信我吗
EP02：まだだね　|　我还不能确定
