EP1 IN
EP1：よっ　鬼殺し　|　哟 杀鬼人
EP1：やはり行方も分かってるんですね　|　果然也知晓对方的行踪
EP1：どこです　|　在哪里
EP1：欧州だ　おそらくは　|　应该在 欧洲
EP1：元に戻れるかもしれないってのにこのまま死ぬのはしゃくでしょう　|　明明有可能恢复原样 就这么死了岂不是太可惜了
EP1：ダメもとで　|　死马当活马医
EP1：追いかけりゃいいじゃありませんか　|　追上去不也挺好吗
EP1：あなただってご主人を死なせたかないでしょ　|　你也不想你家小姐死吧
EP1：私は命に応じるだけです　|　我只是服从命令
EP1：鴉夜様が死にたいとおっしゃれば喜んで死なせる方法を探します　|　如果鸦夜小姐想死 我很乐意帮她寻找方法
EP1：私の気持ちは関係ありません　|　我怎么想并不重要
EP1：それじゃあただの操り人形だ　|　那不就是受人操纵的人偶吗
EP1：傀儡であることが一族の家訓です　|　我族的家训就是做好傀儡
EP1：窮屈の間違いじゃないですか　|　我看你误会成死板了吧
EP1：怪しいな　|　真是可疑
EP1：私にそんな話を進めてお前に何の得がある　|　这样劝我对你有什么好处
EP1：得も何も一挙両得とはこのことです　|　这不是一举两得吗
EP1：どうやらあなたの首から下を持ってったアホってのは　|　我觉得抢走你身体的那个傻子
EP1：あたくしを人でなくしたヤツと同じのようだ　|　就是把我变成混鬼的那个人
EP1：ついてる杖にはMの字が刻まれてませんでしたか　|　他的拐杖上是不是刻着一个M
EP1：確かに杖にはMの字が刻まれていた　|　确实是刻着一个M
EP1：あたくしを捕らえたヤツです　間違いありやせん　|　那就没错了 他就是捉住我的人
EP1：あなた何百年も生きているならさぞや頭も切れるでしょう　|　既然你活了几百年脑袋应该很灵光吧
EP1：もう切れてるけどな　|　光一个被拎着的脑袋了
EP1：あなたには敵を追える頭がある　|　你有能追踪敌人的脑袋
EP1：あたくしにはあなたを運ぶ体がある　|　我有能搬运你的身体
EP1：どうです　目的は一致してます　|　怎么样 我们目的一致
EP1：一緒に欧州に参りませんか　|　要一起去欧洲吗
EP1：静句　出せ　|　静句 让我出来
EP1：はい　鴉夜様　|　是 鸦夜小姐
EP1：首だけになってまで生きても面白くない？　|　只剩个脑袋就生活无趣？
EP1：とんでもない　|　怎么会呢
EP1：そんな体だって面白いことはたくさんあります　|　即便如此人生也有很多乐趣
EP1：あたくしがあなたを楽しませて差し上げましょう　|　就让我带你领略这些乐趣吧
EP1：鬼殺し　二言はないな　|　杀鬼人 休要食言
EP1：ございません　|　绝不食言
EP1：分かった　|　好吧
EP1：行こう　欧州へ　|　那走吧 去欧洲
EP1：ところであたくしの寿命を延ばす方法ってのは　|　话说你之前提到延长我寿命的方法
EP1：私の一部を喰えば良い　|　只要吃掉我的一部分就行
EP1：喰う？あなたを？　|　吃掉？你？
EP1：不死の細胞はとにかく抵抗力が強い　|　「不死」的细胞有很强的抵抗力
EP1：それをお前の体に取り込めば　|　只要你吃下它
EP1：基礎である人間の方の免疫がぐんと高まる　|　就能大幅强化你人类部分的免疫力
EP1：結果鬼になるのを遅らせることができるわけだ　|　从而延缓变成鬼的过程
EP1：なるほど　|　原来如此
EP1：いやでも食わせるったって…　|　不过让我吃你…
EP1：何も私だって眼や耳や脳みそを喰わせるつもりは毛頭ない　|　我也没打算请你吃眼睛耳朵脑花什么的
EP1：困らん部分を使う　|　得是无关紧要的地方
EP1：と言いますと　|　也就是说
EP1：まあ一番妥当なのは体液の類だ　|　最合适的也就是体液了
EP1：涙　鼻水　汗　|　泪液 鼻涕 汗液
EP1：もしくは　|　或是
EP1：唾？　|　口水？
EP1：だがあたくしは滅多に哭かんし汗もかかん　|　不过我很少哭也不怎么出汗
EP1：鼻水と唾液とどちらが良い　|　你要鼻涕还是唾液
EP1：唾です　|　口水吧
EP1：決まりだな　|　好的
EP1：なら受け取るが良い　|　那你来取吧
EP1：今ですか　|　现在吗
EP1：ああ　契約の証しだ　|　当然 这是契约的证明
EP1：どう受け取ります　|　要我怎么取
EP1：自我に移せば良い　|　来我面前
EP1：遠慮はいらん　|　别客气
EP1：失礼いたします　|　多有冒犯
EP1：#这是一个与我们熟知的明治时代
EP1：#不同的明治时代
EP1：#在文明开化的大旗之下
EP1：#推行着将怪异、妖怪、狐妖一类
EP1：#大规模驱逐的政策
EP1：#俗称为
EP1：#肃清怪奇
EP1：#这个故事
EP1：#是以这样的世道为舞台的
EP1：#一场笑剧
EP1：#第一话 杀鬼人
EP1：#真打：指最后出场的高手，压轴的名角。
EP1：#前座：指正式节目前的垫场节目，或是（演垫场节目的）二牌演员。
EP1 OUT

EP2 IN
EP2：ラウール　|　拉乌尔
EP2：狩りは終わりだ　そろそろ帰るぞ　|　狩猎结束了 该回去了
EP2：何を見ていたんだ　|　你在看什么
EP2：キノコだよ　父さん　|　是蘑菇 父亲
EP2：銃で仕留めなかったの　|　没用枪解决掉吗
EP2：撃っても当たらんのだから　仕方なかろう　|　打也打不中 没办法
EP2：だったら最初から持ってこなきゃいいのに　|　既然如此就别带枪嘛
EP2：市長がわざわざ送ってきたんだ　|　市长特意送过来的
EP2：一度くらいは試しておかないと　|　至少得试一试
EP2：それにこういう道具を使うのは良いアピールになる　|　而且 使用这些道具也是在表明立场
EP2：人類に歩み寄っているというな　|　表明我们正向着人类靠拢
EP2：でも向こうにはきっと伝わってないよ　|　但我想对方肯定不会理解的
EP2：この前だってハンターが一人襲ってきたし　|　之前也有猎人独自袭击过来
EP2：ドラキュラ伯爵が撃たれてから風当たりが強いんだよ　|　德古拉伯爵中枪后 势头就更大了
EP2：だからこそイメージが大事なんだ　|　所以才说印象很重要
EP2：これからは誰もが人類とうまくやる必要がある　|　往后大家都有必要跟人类和睦相处
EP2：望むと望まざるとに関わらずな　|　与个人的意愿无关
EP2：銃をしまってくる　|　我去把枪收起来
EP2：倉庫に銀を置いとくのやめてくれないかな　|　能不能别在仓库里放银具
EP2：銀？　|　银具？
EP2：例のハンターから取り上げた武器だよ　|　从那个猎人身上缴获的武器啊
EP2：危ないのにどうして家の中に置いとくの　|　明明很危险为什么要放在家里
EP2：それもイメージ戦略？　|　这也是为了印象？
EP2：違う　|　不是
EP2：他のハンターの手に渡るよりは　|　与其交给其他猎人
EP2：自分で管理していた方がよほど安全だろ　|　自己收纳着更加安全
EP2：シャルロッテが悪戯しないように鍵もかけ…　|　为了不让夏洛特拿去恶作剧我还上了锁…
EP2：なんだ　|　怎么回事
EP2：どうしたの　|　怎么了
EP2：我々の血　|　我族之血
EP2：ラウール　私の後ろにいろ　離れるな　|　拉乌尔 待在我身后 别离远了
EP2：どうして　|　为什么
EP2：いいから離れるな　絶対にだ　|　别问了 照做就是
EP2：クロード　|　克劳德
EP2：クロード　ハンナ　|　克劳德 汉娜
EP2：どうしたの　父さん　|　怎么了 父亲
EP2：クロード　無事か　|　克劳德 你没事吧
EP2：何かあったの　|　出什么事了吗
EP2：旦那様　どうなされました　|　老爷 怎么了
EP2：アルフレッド　城に侵入者があったようだ　|　阿尔弗雷德 城堡里似乎有入侵者
EP2：何か気づかなかったか　|　你有注意到什么吗
EP2：いえ　私は何も存じません　|　不 我没有察觉到任何异样
EP2：ずっと執務室におりましたもので　|　因为一直都待在工作室里
EP2：シャルロッテはどこにいる　|　夏洛特在哪里
EP2：ジゼルと洗濯室にいるよ　|　她和吉赛尔在洗衣室里
EP2：さっきからずっとうるさいんだよな　|　从刚才起就一直很吵啊
EP2：父さん　|　父亲
EP2：父さん　|　父亲
EP2：ここにいろ　|　你们待在这
EP2：ハンナ？　|　汉娜？
EP2：だからさ　これは警告なんだよ　|　所以说这是警告
EP2：身を引かなきゃお前たちもってやつだ　|　如果不退出你们也是同样的下场
EP2：身を引くってのは人類親和派からかね　|　你是说退出人类亲和派吧
EP2：怪物に人権をやるなんてとんでもないっていう過激なハンターも中にはいんだろう　|　其中也会有激进的猎人认为给怪物人权很荒唐吧
EP2：ロイズのエージェントだっていう噂もある　|　也有传言说是劳合社的特工干的
EP2：まあ　どこの誰がやったにせよ　|　不管是谁做的
EP2：俺は無罪にしてやりたいね　|　我都觉得他无罪啊
EP2：失礼　|　让一下
EP2：ゴダール卿は人間の血を吸わないという宣誓書にサインしたからこそ　|　戈达尔勋爵是在不吸人血的誓约上签了名
EP2：人権を得たわけで　|　才获得人权的
EP2：吸血鬼なんて信用できるか　|　怎么能相信吸血鬼
EP2：出てきたぞ　|　出来了
EP2：ゴダール卿　|　戈达尔勋爵
EP2：ゴダール卿　エスト紙です　|　戈达尔勋爵 这里是东方报
EP2：今回の事件について見解を一言　|　请您发表一下对这次案件的看法
EP2：ゴダール卿　こちらを向いてください　|　戈达尔勋爵 请面向这边
EP2：追い捨てくれ　|　请让我过去
EP2：これから判事に会いに行くんだ　|　我现在要去见法官
EP2：どいてくれ　|　请让开
EP2：お願いします　|　拜托了
EP2：お願い…　|　拜…
EP2：どけ　|　滚开
EP2：ゴダール卿　|　戈达尔勋爵
EP2：君はいくつだ　|　你多大了
EP2：エポック紙の特派員　|　我是时代报的特派员
EP2：アニー・ケルベル　14歳です　|　安妮·克尔贝尔 14岁
EP2：警察の発表によると事件の捜査は継続中とのことですが　|　根据警方的声明 案件的调查仍在进行中
EP2：継続中？　|　进行中？
EP2：馬鹿なこと　|　荒谬
EP2：打ち切られたも同然だ　|　调查跟被迫中止没有区别
EP2：もう20年以上人の血は飲んでいないし　|　我已经二十多年没有喝过人血
EP2：日曜の夜には家族で教会にだって通ってるんだぞ　|　周日的晚上还和家人们去教会做礼拜
EP2：これが私たちに対する正当な仕打ちか　|　这难道就是对待我们的正当方式吗
EP2：それは親和派の吸血鬼に対する社会的差別ということでしょうか　|　您认为这是社会对亲和派吸血鬼的歧视吗
EP2：その通りだ　|　没错
EP2：ゴダール卿は警察の対応に憤慨していると記事に書いておいてくれ　|　请在报道上写「戈达尔勋爵对警察的处理感到气愤」
EP2：非常に憤慨しているとな　|　非常地气愤
EP2：ではどうやって真相を究明するおつもりですか　|　那么您打算怎样查明真相呢
EP2：探偵に依頼する　|　我会委托侦探
EP2：東洋の二人組で怪物専門の探偵と呼ばれているらしい　|　是东洋的二人搭档 被称为专攻怪物的侦探
EP2：怪物専門　|　专攻怪物
EP2：ひょっとして鴉夜輪堂と津軽真打ですか　|　您说的该不会是鸦夜轮堂和津轻真打吧
EP2：ああ　そんな名前だったかな　|　嗯 应该是这两个名字
EP2：来るんだ　鳥籠使いが　|　鸟笼使会来啊
EP2：御者さん御者さん　|　师傅 师傅
EP2：何ですか旦那　|　怎么了 老爷
EP2：ちょいと揺れすぎやしませんか　|　马车是不是太晃了
EP2：そりゃ田舎道ですからね　|　毕竟这里是乡间小道
EP2：だからってこうガタガタガタガタやられると尻は痛いわ胸は焼けるわ　|　就算如此 一直喀哒喀哒的真令人腚痛胸闷啊
