EP01 IN
EP01：雨すごいね　|　好大的雨呢
EP01：何か食べるもの買ってくるね　|　我去买点吃的
EP01：いらっしゃいませ　|　欢迎光临
EP01：ウェットとドライ　これ何が違うんだろう　|　干狗粮和湿狗粮 有什么区别呢
EP01：ワンちゃんのご飯ですか　|　是要买狗粮吗
EP01：はい　|　是的
EP01：何歳くらいですか　|　它大概几岁
EP01：いくつだろう　捨てられてたのを拾ったので　|　几岁呢 我是捡了被人遗弃的
EP01：ああ　じゃ大きさはどれくらいですか　|　这样啊 那它个头大概多大
EP01：これくらいですかね　|　这么大吧
EP01：小型犬かな　|　是小型犬吗
EP01：だったら　これがおすすめですよ　|　那我推荐买这个
EP01：うちの子も　すごく気に入ってるので　|　我家那孩子很喜欢吃
EP01：ありがとうございます　|　谢谢你
EP01：「うちの子」か　|　「我家那孩子」吗
EP01：ただいま　|　我回来了
EP01：おいしい　|　好吃吗
EP01：そう　よかった　|　是吗 太好了
EP01：すこし片づけなきゃな　|　得收拾一下了
EP01：あげないよ　|　不会给你的
EP01：そうだ　早めに病院行ったほうがいいって言ってたっけ　|　对了 好像是说要早点带它去医院吧
EP01：明日は病院行って　検査と予防注射ね　|　明天带你去医院 做体检打预防针
EP01：藤さん　どうぞ　|　藤小姐 请进
EP01：よろしくお願いします　|　麻烦你们了
EP01：はい　いらっしゃい　|　欢迎光临
EP01：初めてですね　|　是第一次来吧
EP01：ワンちゃんかな　ネコちゃんかな　|　是小狗吗 还是小猫呢
EP01：コアラちゃんかな　なんちゃって　|　是小考拉吗 开个玩笑
EP01：捨て犬です　|　是被遗弃的狗
EP01：昨日拾ったので　検査と予防注射をと思って　|　昨天刚捡回家 想着给它做体检打预防针
EP01：はあー　なるほどねー　|　啊 原来是这样
EP01：えーっと　この子…　|　我想想啊 这孩子…
EP01：ぶっといやつ　注射しときますね　|　用粗的给它打针吧
EP01：じゃ　飼い主さんは外で待っていてくださいね　|　那么 饲主请在外面等候
EP01：はい　|　好的
EP01：藤さん　|　藤小姐
EP01：はい　|　来了
EP01：いやあ　おとなしくて　お利口でしたよ　|　哎呀 真是个又听话又聪明的孩子
EP01：よかったです　|　那就好
EP01：それより　この子ね　|　不过 其实它
EP01：めっちゃ健康です　|　超级健康
EP01：ありがとうございました　|　谢谢您了
EP01：定期健診にも来てくださいね　|　请记得来定期体检哦
EP01：はい　|　好的
EP01：じゃあ　これ投げるね　|　那我要扔了哦
EP01：お利口さんだね　|　你好聪明啊
EP01：今日も転がってんなあ　|　今天也在滚来滚去呢
EP01：よしよしよしよし　|　乖乖乖乖
EP01：よーし　ああ…　|　乖 啊…
EP01：よしよしよしよしよーし　|　乖乖乖乖
EP01：よーしよしよし…　|　乖乖乖…
EP01：君　猫じゃないよね　|　你不是猫吧
EP01：猫はフリップ出さない　|　猫不会拿出提示卡
EP01：すみません　|　不好意思
EP01：その子　うちの子なんです　|　这孩子是我家的
EP01：そうなんですか　|　这样啊
EP01：昨日　拾ったばかりで　|　我昨天刚捡回家的
EP01：いきなり走りだしちゃって　|　刚才它一下子窜了出去
EP01：やっぱり　犬はリードが必要かな　|　狗果然得要个牵引绳啊
EP01：えーっと　この　|　诶 它是
EP01：犬です　|　是狗
EP01：犬？　|　狗？
EP01：はい　|　是的
EP01：突然走りだしたらダメじゃない　|　不可以突然一下跑掉
EP01：さあ　行くわよ　|　我们走吧
EP01：いや　お姉さん　|　啊 小姐姐
EP01：それ　多分犬じゃ…　|　这应该不是…
EP01：犬でもねえだろ　|　你是哪门子狗
EP01：猫だけじゃなくて　犬もお好きなんですね　|　看来你不只喜欢猫 也很喜欢狗啊
EP01：ええ　|　是啊
EP01：まあ　かわいいですよね　|　都挺可爱的嘛
EP01：では　失礼します　|　那我们就先走了
EP01：まあ　いいか　|　就这样吧
EP01：今日は　もうダメだね　|　今天只能这样了
EP01：お仕事　|　工作
EP01：それじゃあ　君のお仕事は　|　那你的工作呢
EP01：お面？　|　面具？
EP01：確かに　|　确实有趣
EP01：小説家だよ　|　我是小说家
EP01：そろそろ　|　时间差不多了
EP01：お風呂入る　|　要洗澡吗
EP01：おいしい　|　好喝吗
EP01：水平気なんだ　|　你不怕水啊
EP01：どう　|　怎么样
EP01：平気　|　能接受吗
EP01：平気そうだね　|　看来是可以
EP01：疲れた　大変なのね　|　好累 真费劲
EP01：よしっ　|　好了
EP01：どうしたの　|　怎么了
EP01：もしかして　お水？　|　难道是 要水？
EP01：どうぞ　|　请吧
EP01：せっかく乾かしたのに　|　我好不容易才把你弄干
EP01：怖くない　|　会怕吗
EP01：君は捨てられていたの　|　你是 被遗弃的吗
EP01：じゃあ　どこから来たの　|　那 你是从哪来的
EP01：そういう私は　どこから来たんだろうね　|　而我又是从哪里来的呢
EP01：どうぞ　|　给
EP01：どこから来て　どこへ行くのか　|　从哪里来 又要往哪里去
EP01：永遠の命題ね　|　真是永恒的问题啊
EP01：今わかることは　|　现在能知道的
EP01：これからよろしくね　|　就是今后请多多关照了
EP01：暗いのも　雨も好き　|　我喜欢黑暗 也喜欢下雨
EP01：あなたは　|　你呢
EP01：君も好きでよかった　|　你也喜欢真是太好了
EP01：#请收养我
EP01：#天色含雨
EP01：#很好养的！
EP01：#雨中，你站在纸箱里 如果我有伞就不会相遇
EP01：#谢谢
EP01：#好7
EP01：#狗猫动物医院
EP01：#医院的通知 我们可以做的健康检查 招募父母 感兴趣的请到前台！ 停诊的通知 寻找失踪犬！
EP01：#我是狗
EP01：#请温柔一点
EP01：#打预防针是主人的义务汪!! 守护重要的家人 这是为了保护重要爱犬的约定 狗狗登记 狗狗打针 佩戴证明 详情请咨询各省市自治区单位
EP01：#狗
EP01：#爱你 不过不会再来了
EP01：#是猫
EP01：#你是做什么工作的？
EP01：#用叶子做面具
EP01：#有趣吧？
EP01：#所以 你的工作是什么？
EP01：#洗
EP01：#喜欢
EP01 OUT

EP02 IN
EP02：会いたくないから　|　因为不想见你
EP02：よし　|　好了
EP02：こんにちは　|　你好
EP02：こんにちは　希依ちゃん　|　你好 小希依
EP02：今帰り　早いのね　|　刚回来吗 今天真早啊
EP02：はい　|　对
EP02：今日はお昼まででした　|　今天课只上到中午
EP02：犬だ　|　是狗狗
EP02：かわいい　|　好可爱
EP02：けど　なんでノート持ってるの　|　但是为什么拿着笔记本
EP02：犬飼ったんですか　|　你养狗了吗
EP02：拾ったのよ　|　是捡回来的
EP02：優しい　|　好温柔哦
EP02：優しくないよ　|　才不温柔呢
EP02：かわいそうだから拾ったんですよね　|　是同情它才捡回家的吧
EP02：いいえ　|　不是
EP02：じゃあ…　|　那是…
EP02：可愛いから？　|　因为它可爱？
EP02：ううん　|　也不是
EP02：じゃあ　どうして　|　那为什么
EP02：この子に　頼まれたからね　|　因为这孩子拜托我了
EP02：面白い　|　好有趣
EP02：面白いでしょう　|　有趣吧
EP02：あれ　お出かけですか　珍しい　|　咦 你要出门吗 好稀奇
EP02：ちょっと人が来るから　|　因为有人要来
EP02：お客さん　|　客人吗
EP02：じゃあ　お家にいたほうが　|　那应该留在家里吧
EP02：いいの　会いたくないから　|　没关系 我不想见他
EP02：そうなんだ　|　这样啊
EP02：それでお散歩ですか　|　所以才去散步吗
EP02：ええ　|　对
EP02：一緒に行ってもいいですか　|　我可以一起去吗
EP02：うん　|　嗯
EP02：お母さんにも言っておいてね　|　记得跟你妈妈说一声
EP02：はーい　|　好
EP02：きなこも連れてきますね　|　我带黄豆粉一起去
EP02：よかったね　|　真好呢
EP02：きなこちゃんとお散歩だよ　|　可以跟黄豆粉一起散步
EP02：大丈夫かな　|　应该没事吧
EP02：触るとわかる　|　摸一下就知道了
EP02：ちょっと　うなってる　|　是有点在凶人
EP02：きなこちゃん　久しぶり　|　黄豆粉 好久不见
EP02：私のこと　覚えてる　|　还记得我吗
EP02：覚えててくれたみたいね　|　好像还记得呢
EP02：優しい人は覚えてるんですよ　|　温柔的人它都会记得的
EP02：私は優しくないわ　|　我才不温柔呢
EP02：またまた　|　又来了
EP02：全然　仲良くなれないね　|　完全相处不来呢
EP02：そうだ　|　对了
EP02：おやつ　一緒に食べれば　|　一起吃零食试试
EP02：あげてもいいですか　|　可以喂它吗
EP02：ええ　|　可以
EP02：そのうち　仲良しになれるといいなあ　|　它们能这样慢慢熟悉就好了
EP02：お座り　|　坐下
EP02：お手　|　握手
EP02：タッチ　|　触碰
EP02：やってみる　|　你要试试吗
EP02：お座り　|　坐下
EP02：あれれ　|　咦
EP02：お手　|　握手
EP02：タッチ　|　触碰
EP02：全然できてない　|　完全做不好
EP02：教えてないから　|　因为我没教它
EP02：けどかわいいから　いいかな　|　但是可爱 所以没关系
EP02：うん　かわいいよ　|　嗯 你很可爱
EP02：面白い　|　好有趣
EP02：お前　|　你
EP02：なんで　家にいないんだ　|　为什么不在家
EP02：いないから来ないでって言ったじゃない　お父さん　|　我不是说了不在家所以别来吗 爸爸
EP02：お父さん？　|　爸爸？
EP02：お前　|　你啊
EP02：お前が犬を拾ったって　テルから聞いたから　|　因为听辉说你捡了条狗
EP02：早速　見に来たんじゃないか　|　所以我才赶过来看嘛
EP02：偶然　ここを通りかかったからいいものを　|　还好偶然经过这里才没白跑一趟
EP02：今日は　とにかく都合が悪かったのよ　|　总之我今天没空
EP02：ウソ　ウソ　|　骗人骗人
EP02：こんなに楽しく遊んでるじゃん　|　你明明玩得这么开心
EP02：しかも　|　而且
EP02：こんなかわいらしいお友達と　|　还和这么可爱的朋友一起
EP02：はじめまして　|　初次见面
EP02：隣に住んでる　クラウゼ・エラ・希依といいます　|　我是住在她隔壁的克劳洁·艾拉·希依
EP02：えっと　|　呃
EP02：希依です　|　叫我希依就行
EP02：うちの娘より　全然コミュ力高いじゃん　|　交流能力比我家女儿强多了
EP02：こちらこそ　はじめまして　|　我才是 初次见面
EP02：いつも　娘が世話をかけてるよね　|　我女儿平时没少受你照顾吧
EP02：お姉さん　ちょっと変わってるから面白いです　|　姐姐稍微有点奇怪 所以很有趣
EP02：そうだよね　|　是吧
EP02：で　で　犬はどこ　|　所以 所以 狗在哪
EP02：かわいい　|　好可爱
EP02：かわいい　かわいい　かわいい　|　好可爱 好可爱 好可爱
EP02：かわいい　|　好可爱
EP02：見ちゃダメよ　|　不能看哦
EP02：恥ずかしいから　やめて　|　很丢脸的 别这样
EP02：どこで　こんな天使を　|　你在哪捡到了这样的天使
EP02：道　|　路边
EP02：ホント　かわいいでちゅね　|　真的好可奈
EP02：こんな　かわいいとは　|　居然这么可爱
EP02：化け物　|　怪物
EP02：もう恥ずかしいから　|　真是的 丢人
EP02：お利口さんです　|　它很聪明的
EP02：芸達者よね　|　多才多艺吧
EP02：妖怪　|　妖怪
EP02：自転車に乗る犬だって　いるでしょ　|　不是也有会骑自行车的狗吗
EP02：うんうん　|　嗯嗯
EP02：絵を描くゾウもいますよね　|　还有会画画的大象吧
EP02：そうね　|　确实
EP02：なるほど　なあ　|　原来是这样 吗
EP02：大きい声出して　ごめんね　|　叫那么大声 不好意思哦
EP02：化け物　|　怪物
EP02：妖怪　|　妖怪
EP02：取ってこい　|　捡回来
EP02：すごいじゃん　|　很厉害嘛
EP02：だいぶ慣れてきたみたいです　|　它们好像熟起来了
EP02：そうね　|　是啊
EP02：会いたくなかった人って　お父さんですか　|　不想见的人 是你爸爸吗
EP02：ええ　まあね　|　嗯 算是吧
EP02：お父さんを　嫌いなんですか　|　你讨厌 你爸爸吗
EP02：面白いのに　|　他很有趣啊
EP02：嫌いなわけじゃないよ　|　并不是讨厌
EP02：そうねえ　なんというか　|　嗯 该怎么说呢
EP02：ちょっと　仕事が立て込んでてね　|　最近工作有点忙
EP02：会う元気がなかったの　|　就没有精力见他了
EP02：疲れてたから　相手するの面倒だったんですね　|　因为太累了所以懒得陪他吗
EP02：いや　そこまでじゃないけど　|　不 那也不至于吧
EP02：なんていうか　|　该怎么说呢
EP02：多分　疲れてるんだろうなって思って　|　估计他能感觉得到我很累
EP02：早々に帰ってくれはするのよ　|　所以会很早就回去
EP02：空気が読めるってやつですね　|　也就是说他善解人意咯
EP02：いや　結局来ちゃってるんだから　空気は読めてないんだけどね　|　不吧 结果他还是过来了 所以算不上善解人意
EP02：まあまあ　|　算啦算啦
EP02：前に一度　同じようなことがあった時　|　之前也有过一次这样的情况
EP02：心配してるふうなことは何も言わないで　|　他也没说什么像是在担心我的话
EP02：黙って帰る父の姿を見て　なんかすごく…　|　看着爸爸默默回去的样子 会让我觉得很…
EP02：ほら　|　给你
EP02：紅茶　|　红茶
EP02：ちょっと　|　喂
EP02：はい　|　给
EP02：希依ちゃんは　りんごジュースでいいかな　|　小希依喝苹果汁可以吗
EP02：ありがとうございます　|　谢谢
EP02：どういたしまして　|　不客气
EP02：さあ　来い　|　来吧
EP02：よーし　よしよしよし　よしよしよし　|　乖乖乖乖乖
EP02：君もおいで　|　你也过来
EP02：よーし　よしよしよし　よしよしよし　|　乖乖乖乖乖
EP02：優しい　|　你真温柔
EP02：ありがとうございます　|　谢谢你
EP02：私は優しくないわよ　|　我才不温柔呢
EP02：このやりとり　三度目ですよ　|　这段对话已经是第三次了
EP02：お父さんのこと　心配させたくないから会わないっていうのも　|　因为不想让爸爸担心所以不见他
EP02：優しさですよ　きっと　|　肯定也是因为你温柔哦
EP02：どうかな　|　是吗
EP02：水　|　水
EP02：バテバテじゃない　|　怎么筋疲力尽了
EP02：いやあ　運動不足だな　|　这是 运动不足
EP02：あれ　水は　|　咦 水呢
EP02：自分の分は　ないの　|　你自己的呢 没买吗
EP02：忘れた　|　我忘了
EP02：仕方ないな　|　真拿你没办法
EP02：すまん　すまん　|　抱歉抱歉
EP02：生き返った　|　活过来了
EP02：やっぱり　優しいんじゃ　|　就是很温柔嘛
EP02：今日はありがとうございました　|　谢谢你今天带我玩
EP02：こちらこそ　|　彼此彼此
EP02：では　失礼します　|　那我就告辞了
EP02：またね　|　再见
EP02：ただいま　|　我回来啦
EP02：おかえりなさい　|　欢迎回来
EP02：お母さん　どうかしたの　|　妈妈 怎么了吗
EP02：ねえねえ　聞いたわよ　|　喂喂 我可听说了
EP02：私にも見せてよ　|　给我也看看嘛
EP02：見せてよって　何を　|　看什么啊
EP02：ワンちゃんに決まってるでしょ　|　肯定是狗狗呀
EP02：今日あの人が撮った写真　全部ブレてるのよ　|　他今天拍的照片 全都糊掉了
EP02：なるほど　|　原来如此
EP02：今日　私は用事があるから　|　因为我今天有事
EP02：別の日に一緒に見に行こうって　思ってたのに　|　所以想着改天和他一起去看的
EP02：「その時はその時で　また行けばいい」とか　言ってね　|　结果他说「到时候我再陪你去一趟就好了」
EP02：で　「俺は　もう我慢できないから行く」って　|　然后又说「我已经忍不住了现在就要去」
EP02：じゃあ　せめて写真撮ってきてねって　頼んだんだけど　|　所以我就拜托他起码拍几张照片回来
EP02：１枚も　まともに撮れてないって　どうなの　|　不知道为什么一张好的都没拍到
EP02：お父さん　不器用だからね　|　因为爸爸笨手笨脚的嘛
EP02：あんたが撮って　送ってよ　|　你拍几张发过来吧
EP02：うん　わかった　|　嗯 知道了
EP02：お父さん　全部ブレてるって　|　爸爸居然全部拍糊了吗
EP02：さすがに今日は疲れたよね　よく遊んだから　|　今天你也累了吧 毕竟玩了那么久
EP02：クモ　|　蜘蛛
EP02：捨てて　|　丢掉
EP02：捨てて　|　丢掉
EP02：気を取り直して　|　再来一次
EP02：どうして　|　为什么
EP02：全然撮れないのかな　|　就是拍不到呢
EP02：これじゃあ　お父さんのこと言えないな　|　这样的话 我也没脸说爸爸了
EP02：起こしちゃ悪いよね　|　要是吵醒它也不好
EP02：写真は　|　照片呢
EP02：お母さん　|　妈妈
EP02：来ちゃったわよ　|　我直接过来了
EP02：ご飯　食べた　|　吃饭了没
EP02：まだ　|　还没
EP02：思ってたのと違うわねえ　|　和我想的不一样啊
EP02：お父さんは　なんて言ってたの　|　你爸是怎么说的
EP02：天使って　|　他说是天使
EP02：天使ではないかな　|　算不上天使吧
EP02：お母さん　カステラ　好きだったっけ　|　妈妈你喜欢吃长崎蛋糕的吗
EP02：お父さん　最近おなかが出てきたから　|　你爸他 最近肚子越来越大了
EP02：家では甘いもの禁止にしてんのよ　|　所以家里已经不准出现甜食了
EP02：でも　なんか　無性に食べたくなってね　|　但有时候就会突然想吃嘛
EP02：お座り　|　坐下
EP02：お手　|　握手
EP02：おバカそうね　|　看起来笨笨的
EP02：教えてないから　|　因为我没教它
EP02：食い意地は張ってるみたいね　|　看见吃的倒是挺来劲
EP02：あげないわよ　|　不会给你的
EP02：体に悪いでしょ　|　这个对你身体不好
EP02：ああ　くっついちゃった　|　哎呀 粘在上面了
EP02：実は　このザラメがおいしいのよね　|　其实这个粗砂糖才好吃啊
EP02：欲しかったら　芸の一つでも見せてごらんなさい　|　想要的话 就表演个什么才艺看看吧
EP02：芸といえば　この子文字が…　|　说起才艺 这孩子会写…
EP02：もう　おバカね　|　真是 笨笨的
EP02：いや　|　不对
EP02：一周回って　賢いんじゃない　|　搞不好可能还挺聪明
EP02：#西阳
EP02：#今天不在家
EP02：#请多指教
EP02：#很好养的！
EP02：#黄豆粉
EP02：#不行
EP02：#可爱？
EP02：#我很开Xi
EP02：#看我
EP02：#里面有什么？
EP02：#西瓜吗？
EP02：#长崎蛋糕
EP02 OUT

EP03 IN
EP03：じゃあ　今日はここまで　|　好 今天就上到这
EP03：起立　|　起立
EP03：礼　|　鞠躬
EP03：おなかすいた　|　肚子饿了
EP03：お昼どこで食べる　|　中午去哪吃
EP03：天気いいし外行かない　|　天气这么好出去吃吧
EP03：うん　行こう行こう　|　嗯 走吧走吧
EP03：ふーちゃん　|　小藤
EP03：私たちの教室でお昼食べよう　|　去我们教室吃午饭吧
EP03：また本読んでる　|　又在看书
EP03：よう飽きんな　|　真看不腻啊
EP03：ミミは飽き性すぎなのよ　|　是美美太静不下心了
EP03：冷やし中華始まってる　|　吃中华凉面的季节到了
EP03：始めました　|　到了
EP03：おかず交換でちょっとちょうだい　|　我能拿小菜跟你换一点吗
EP03：いいよ　|　行啊
EP03：じゃあ　グミと交換しよう　|　那我拿软糖换
EP03：グミ？　|　软糖？
EP03：おいしいよ　|　很好吃的
EP03：おいしい　まずいの前に　|　重点不是好不好吃
EP03：それ　ご飯じゃないしおやつだし　|　那是零食又不是饭
EP03：あとで食べれば　|　吃完饭再吃嘛
EP03：そんなに食べたいかな　冷やし中華　|　你这么想吃中华凉面吗
EP03：うん　|　嗯
EP03：じゃあ　私のつくね団子ミミにあげる　|　那我把鸡肉丸子给美美
EP03：レンのグミ私にちょうだい　|　莲的软糖就给我吧
EP03：はーい　|　好
EP03：で　みーちゃんの冷やし中華私がもらう　|　这样小美的凉面就归我了
EP03：こういうのなんて言うんだっけ　|　这种情况叫什么来着
EP03：三角貿易　|　三角贸易
EP03：そうそう　それそれ　|　对对 就是这个
EP03：うん　うまい　|　嗯 好吃
EP03：うまっ　|　好吃
EP03：よかったね　|　皆大欢喜呢
EP03：なあなあ　今日帰りさあ　|　我说啊 今天放学后
EP03：海行こうぜ　|　一起去海边吧
EP03：行かない　|　不去
EP03：なんで　|　为什么
EP03：いいじゃん海　|　海边多好啊
EP03：行こうぜ　暇だろ　|　去吧 反正你很闲吧
EP03：暇だけど行かない　|　虽然闲但我不去
EP03：みーちゃん　|　小美
EP03：いやまあ　行かないなら行かないでいいんだけどさ　|　不是我说 不去就不去嘛
EP03：お前もうちょっと　こっちに伝わるように話せよな　|　但你就不能说得更好理解点吗
EP03：行かないって言ったじゃない　|　我不是说了不去吗
EP03：だから　なんで行かないのかどうして行かないのか知りたいじゃん　|　我是说 你为什么不去 我们想知道原因啊
EP03：いろいろあるだろ　|　可以有很多理由吧
EP03：昔溺れたことがあるとか　肌が弱いからとか　|　比如之前溺过水呀 皮肤经不住晒呀
EP03：なんとなく嫌いとか　|　总之就是不喜欢之类的
EP03：藤はさ　なんか　|　藤 你啊
EP03：なんか考えてるってのはわかる　|　虽然看得出来你有在思考
EP03：何を考えてるのかは全然わかんないけど　|　但是你在想什么就完全搞不懂了
EP03：みーちゃん　ふーちゃんのこと好きすぎじゃない　|　小美也太喜欢小藤了
EP03：ねえ　私のことも聞いてよ　|　也关心一下我嘛
EP03：アホか　|　白痴吗
EP03：そんなに私のことが　|　这么在意我吗
EP03：アホか　|　白痴吗
EP03：ここで部屋番号合ってるよな　|　这个门牌号是对的吧
EP03：大丈夫　大丈夫　|　没错的 没错的
EP03：いらっしゃい　|　欢迎
EP03：やっほ　|　呀吼
EP03：よ　|　哟
EP03：お邪魔しまーす　|　打扰了
EP03：冷蔵庫借りるな　|　借用下冰箱
EP03：起きた　|　醒了
EP03：ホントに犬飼い始めたんだな　|　你真开始养狗了
EP03：かわいいねえ　|　好可爱
EP03：そうだ　これ　|　对了 这个
EP03：お土産焼き菓子　|　伴手礼烘焙点心
EP03：ありがとう　|　谢谢
EP03：２人ともコーヒー　|　你们都喝咖啡吗
EP03：うん　|　嗯
EP03：私は紅茶飲むけど　|　我喝红茶
EP03：ふーちゃん　ふーちゃん　|　小藤 小藤
EP03：この間旅行に行ってね　そのお土産　|　最近我去旅游了 给你带了纪念品
EP03：アンティークのカップだよ　|　是古玩杯子哦
EP03：３人分あるよ　|　三个人的都有
EP03：ありがとう　|　谢谢
EP03：ころんとして素敵　|　圆圆的真好看
EP03：気に入ってくれてよかった　|　你喜欢真是再好不过了
EP03：それと　|　还有
EP03：君のこと　ふーちゃんから聞いてたよ　|　我听小藤说了你的事情
EP03：はい　|　给
EP03：君にもお土産　|　这是送你的礼物
EP03：かわいすぎるかわいすぎるよ　|　太可爱了 太可爱了
EP03：モフっていい　|　我可以摸摸吗
EP03：モフモフってしていい　|　可以让我摸个爽吗
EP03：どうだろう　|　不好说
EP03：こいつタヌキそっくり　|　这家伙长得跟狸猫一样
EP03：頭に葉っぱついてるし　|　头上还顶着一片叶子
EP03：外でくっつけてきたのか　|　是在外面粘上的吗
EP03：拒否るんだ　|　拒绝了
EP03：はーい　タッチタッチ　|　来 碰碰
EP03：いいなあ　|　这么好
EP03：私もタッチタッチ　|　也跟我碰碰
EP03：こいつ全然かわいくないぞ　|　这家伙一点都不可爱
EP03：最低　|　你好坏
EP03：自分に懐かないからって　|　就因为跟自己不亲吗
EP03：ねえ　最低だよね　|　你也觉得她很坏吧
EP03：言葉きっつ　|　这嘴真不留情
EP03：なになに　|　什么什么
EP03：ふんふん　なるほど　|　嗯嗯 我知道了
EP03：「最低」だってさ　|　它说「你好坏」
EP03：きつ　|　真不留情
EP03：しょせん犬だろ　|　反正都是狗嘛
EP03：ほらほら　おやつのジャーキーあげるから　|　来来 给你吃小点心肉干
EP03：あら　もう仲良くなったの　|　呀 已经混熟了吗
EP03：なったよ　|　混熟了
EP03：なってない　|　没有
EP03：どうぞ　|　请
EP03：ありがとう　|　谢谢
EP03：いいにおい　|　好香
EP03：お持たせですけど　|　虽然这是你带来的
EP03：いただきます　|　我开动了
EP03：フレンチプレスって手間じゃないの　|　用法式压滤壶不麻烦吗
EP03：逆に楽　|　其实还挺轻松
EP03：放っておいていいから　|　只要放着等等就行了
EP03：そうだ　この子すごい特技があるのよ　|　对了 这孩子有个很厉害的特技
EP03：ホント　|　真的吗
EP03：なんだ　|　什么特技
EP03：ちょっと待っててね　|　稍等片刻
EP03：ねえ　はいこれ　|　来 给你这个
EP03：この子ね　すっごく上手に文字が書けるの　|　这孩子写字写得很好
EP03：多分かわいい絵も描ける　はず　|　应该还能画可爱的画
EP03：それってサーカスとかでやるやつじゃん　|　这不是马戏团的动物才会的吗
EP03：すごっ　|　厉害
EP03：お利口さんで　かわいいなんて　|　又聪明又可爱
EP03：動画撮るね　|　拍个视频吧
EP03：逃げた　|　跑了
EP03：行っちゃった　|　怎么就走了啊
EP03：知らない人間が２人も来たから緊張してるのかもな　|　来了两个不认识的人 让它紧张了吧
EP03：ここにいたの　|　你在这啊
EP03：２人は私の大事な友達だから紹介したかったの　|　她们是我很重要的朋友 所以才想介绍的
EP03：君にね　|　让你认识
EP03：ごめんね　|　对不起
EP03：こら　暴れないの　|　喂 不许闹
EP03：ふーちゃん　|　小藤
EP03：そろそろ　始めよっか　|　差不多该开始了
EP03：こんなもん　|　这样吗
EP03：うん　|　嗯
EP03：もうちょっと入れる　|　要再放点吗
EP03：ううん　こんなもんじゃない　|　不用 这样就差不多了
EP03：待て待て待て　|　等等等等等等
EP03：全然包めてない奴が１人いるぞ　|　有个人完全没包好啊
EP03：２人が　うますぎるのよ　|　是你们俩太厉害了
EP03：じゃあ　ふーちゃん　|　那小藤
EP03：こうやって四つ折りにしたのを作ってくれる　|　你能像这样折四下包住吗
EP03：上っかわでギュッとすればいいだけだから　|　把上面的皮捏起来就行了
EP03：それならできそう　|　这种看起来可以
EP03：あったまるまで　ちょい待ってな　|　锅还没热 再等等吧
EP03：水餃子の鍋も用意しとこう　|　也准备下煮饺子的锅吧
EP03：かわいくないやっちゃな　|　真不可爱啊
EP03：なあ　この余りの白菜使ってもいい　|　喂 我能用这些剩下的白菜吗
EP03：いいよ　|　行啊
EP03：なんか作ってくれるの　|　你要做什么吗
