EP01 IN
EP01：フリーダ　|　弗里达
EP01：怖いものは全部俺が追っ払ってやるからな　|　我会把可怕的东西全都赶走
EP01：ダリ　話はまだ終わってないぞ　|　达利 话还没说完
EP01：ゲルハルト　ちょうどいいところに来た　|　盖尔哈德 来得正好
EP01：ウルを少し見ておいてくれ　|　帮我看会乌尔
EP01：ちょっ　待て　|　等下
EP01：おい　黙れ　|　喂 闭嘴
EP01：耳障りだ　今すぐ黙れ　|　太刺耳了 立刻闭嘴
EP01：そんな怖い顔しちゃダメだって　|　别露出这么可怕的表情
EP01：赤ん坊を呪いでもするつもりか　|　你是打算诅咒婴儿吗
EP01：なら貴兄らが代わってくれればよいだろ　|　那你们来换我啊
EP01：いや　無理無理　|　算了算了
EP01：できるわけないじゃん　|　我们怎么可能哄好
EP01：子育てなど未知の領域だからな　|　我对育儿一无所知
EP01：それは僕だって　|　我不也是
EP01：おむつかな　|　该换尿布了吗
EP01：替えてあげたらどうだ　|　换一下怎么样
EP01：僕にできるわけないだろ　|　我怎么可能会换
EP01：なんだいなんだい　|　怎么了怎么了
EP01：大の大人が揃いも揃って　情けないったらありゃしないね　|　一群大人束手无策 真是丢人
EP01：ほら　代わって　|　来 给我
EP01：よしよし　|　乖 乖
EP01：よしよし　おむつは濡れてないみたいね　|　乖 乖 尿布好像没有湿
EP01：ならお腹が空いたのかしら　|　那是肚子饿了吗
EP01：赤ん坊のことがわかるのか　|　你能理解婴儿吗
EP01：そりゃわかりますよ　|　那当然能理解
EP01：旦那様のおむつだって替えたことがあるくらいですから　|　毕竟我还换过老爷的尿布
EP01：ダリちゃんのおむつを？　|　换小达利的尿布？
EP01：皆様だってそうです　|　你们也是一样的
EP01：昔は皆おむつをしていたんですから　|　各位小时候都穿过尿布
EP01：妙な想像するのはやめてもらおうか　|　能不能别想些奇怪的事
EP01：この屋敷の乳母なら　なぜダリの手をわずらわせる　|　身为这座宅邸的保姆 为什么还要劳烦达利
EP01：ダリはデリコ家の当主だぞ　|　达利可是德里科家的当家
EP01：子育てなど　あの男のやるべきことではないはずだ　|　他不应该在育儿上花费心思
EP01：いくら言っても聞いてくださらないのです　|　不管劝多少次老爷都不听
EP01：ウル坊様もラファエロ坊様も　ご自分の手でお育てになると　|　说要自己亲手养育乌尔少爷和拉斐尔少爷
EP01：私どもは　最低限のお手伝いしか　|　我们只能提供最低限度的帮助
EP01：なぜだ　なぜ職務を放棄してまで　ダリは子育てにかまける　|　为什么 为什么达利不惜玩忽职守也要育儿
EP01：ゲルハルト様　それはあなたもお分かりのはずです　|　盖尔哈德大人 您应该也能理解
EP01：クララ　|　克拉拉
EP01：あら　おはやいお戻りで　|　回来得真快
EP01：余計なことは言わなくていいぞ　|　不用说多余的话
EP01：ほら　ミルクだ　|　牛奶来了
EP01：ちゃんと人肌と同じ温度にしてきたぞ　|　调到和体温一样的温度了
EP01：エンリケ　頼む　|　恩里克 帮个忙
EP01：待たせたな　|　久等了
EP01：はい　|　给你
EP01：すまん　|　不好意思
EP01：ほら　|　来了
EP01：やっぱりお腹が空いていたのか　|　我就知道你肚子饿了
EP01：こら　そんなに慌てて飲むんじゃない　|　慢点 别喝这么急
EP01：と言うわけだ　|　事情就是这样
EP01：わざわざ足を運んでくれたことには感謝する　|　感谢你们专程过来拜访
EP01：だが　ヨハネス卿にも伝えたように　|　不过 正如我和约翰尼斯卿说的
EP01：俺は育児で手いっぱいだ　|　我忙于育儿
EP01：しばらくは休職ってことにしておいてくれ　|　暂时让我停职一段时间吧
EP01：まあ　しょうがないんじゃない　|　也没办法啊
EP01：ダリちゃんがそう決めたんなら　|　既然小达利已经决定了
EP01：いや　認めることはできん　|　不 我不能认同
EP01：我々の任務は　何よりも優先されるはず　|　我们的任务是最优先的
EP01：お前も同じか　ゲルハルト　|　你也这么想吗 盖尔哈德
EP01：フリーダか　|　是弗里达吗
EP01：これがフリーダの願ったことだと言うのか　|　这是弗里达所期望的吗
EP01：ダリ　|　达利
EP01：あの子たちを…　|　给孩子们…
EP01：あの子たちを　たくさんたくさん　愛してあげて　|　给孩子们 倾注满满的爱
EP01：お前には関係のない話だ　|　这跟你没有关系
EP01：関係ないだと？　|　没有关系？
EP01：そんなわけないだろ　|　这怎么可能
EP01：フリーダを　|　弗里达
EP01：彼女を殺したのは　僕なんだからね　|　是我杀了她
EP01：ゲルハルトがダリちゃんの奥さんを殺したってこと　|　盖尔哈德杀了小达利的妻子吗
EP01：ダリ　僕を恨むか　|　达利 你恨我吗
EP01：いや　|　不
EP01：恨んでなどいない　|　我不恨
EP01：むしろ感謝しているくらいだ　|　反而要感谢你
EP01：子育てはすごいぞ　|　养育孩子可不得了
EP01：どれだけ突き詰めようが正解というものがない　|　无论如何寻觅都没有正确答案
EP01：俺は子育てというものを極めてみたい　|　我想在养育孩子上登峰造极
EP01：あの愚息どもを　この手で立派に育てあげてみたいのだ　|　想将犬子们亲手培养成才
EP01：許さない　|　我不能允许
EP01：君ほどの男が　こんなことで潰れていくのを許すわけにはいかない　|　我不能允许你这样的男人 因这种事颓废
EP01：自分の理想通りのダリ・デリコでいろってわけか　|　你要我做你理想中的达利·德里科吗
EP01：お前は昔から変わらないな　|　你真是没变啊
EP01：何度言っても無駄だ　|　怎么说都没用
EP01：俺は任務に戻るつもりはない　|　我不打算回去执行任务
EP01：貴兄には僕たち捜査チームを指揮してもらう　|　我要你来指挥我们调查小组
EP01：だから俺は　育児で手いっぱいだと言い…　|　我说了 我忙于育儿…
EP01：両立すればいい　|　兼顾就行了
EP01：ヴラド機関の任務と育児　この二つを両立させればいい　|　弗拉德机关的任务和育儿 二者兼顾就行了
EP01：両立ですか　|　兼顾吗
EP01：僕が知るダリ・デリコなら　いかに困難なことでも成し遂げるはずだ　|　我认识的达利·德里科 任何困难的事都能做到
EP01：言ってくれるじゃないか　|　真会说啊
EP01：僕は貴兄を見損なわない　どんなことがあってもだ　|　我不会看错你 无论发生什么
EP01：だからそれに答えろ　ダリ・デリコ　|　所以你必须做到 达利·德里科
EP01：任務と育児の両立か　無茶を言ってくれる　|　兼顾任务和育儿吗 真会为难人
EP01：いいだろう　その話乗ってやろうではないか　|　好吧 那我就答应了
EP01：ただし　条件がある　|　不过 有个条件
EP01：条件？　|　条件？
EP01：僕のおもちゃ取った　|　你抢了我的玩具
EP01：取ってないわよ　もう　|　我没有抢
EP01：待って　|　等等
EP01：取った　取ったよ　|　抢了 你抢了
EP01：ちょっと貸してって言っただけでしょう　|　我说了我只是借一下
EP01：まさか俺たちにも　任務と育児を両立しろだなんてね　|　没想到居然要我们也兼顾任务和育儿
EP01：それがダリの出した条件だ　|　这就是达利的条件
EP01：だが遺憾の意を表明する　|　但我对此感到遗憾
EP01：これって本当に両立できるのかな　|　这样真的能兼顾吗
EP01：お父様　僕のおもちゃが…　|　父亲大人 我的玩具…
EP01：自分で取り返したまえ　|　自己去夺回来
EP01：ダリはどこに行った　|　达利去哪了
EP01：捜査資料はすべて運び込ませた　|　调查资料全都搬进来了
EP01：これより　デリコ邸は連続殺人事件の捜査本部として機能する　|　即刻起 德里科宅成为连续杀人事件的调查总部
EP01：ありがとうございます　|　谢谢
EP01：しかし　よかったのかね　|　不过 这样真的好吗
EP01：なに　ゲルハルトの言うのももっともなことです　|　没什么 盖尔哈德说的也很有道理
EP01：俺ともあろう者が　任務と育児を両立できないはずがない　|　身为我 不可能无法兼顾任务和育儿
EP01：それに　他人の育児がどんなものか　興味がありましてね　|　而且 我也好奇别人是怎样育儿的
EP01：興味？　|　好奇？
EP01：とくと見せてもらいますよ　|　好好让我看看吧
EP01：彼らにも誇りがある　|　他们也有骄傲
EP01：人にやれと言っておいて　自分にはできません　|　叫别人去做 自己却做不到
EP01：などとは　口が裂けても言えんでしょう　|　这种事无论如何也说不出口
EP01：渦巻く陰謀と育児か　どちらも手強いぞ　|　交织的阴谋与育儿啊 两件事都很棘手哦
EP01：望むところです　|　正合我意
EP01：やれやれ　捜査本部というより　子供部屋だな　|　唉 说是调查总部 更像小孩房间啊
EP01：なるほど　では本件における捜査本部をそう名付けることにしましょう　|　确实 那这次的调查总部就这样命名吧
EP01：それすなわち　「ナーサリー」と　|　即 「托儿所」
EP01：どうしたんですか　ティーチャークラウス　|　怎么了 克劳斯老师
EP01：もう授業が始まりますよ　|　马上就开始上课了
EP01：また授業をさぼるつもりかな　|　他又打算旷课吗
EP01：あれでよく「クラン」を首にならないよな　|　这样居然还没被「氏族」开除
EP01：おいで　|　过来
EP01：#欢迎来到托儿所
EP01：#交织的阴谋与育儿
EP01 OUT

EP02 IN
EP02：ねえねえ　|　那个
EP02：何してるの　|　你在做什么
EP02：何してるの　|　你在做什么
EP02：これはだな　|　这个啊
EP02：お仕事だ　|　我在工作
EP02：お仕事？　|　工作？
EP02：お仕事って何　|　工作是什么
EP02：お仕事ってのは　とっても大切なことだ　|　工作就是非常重要的事
EP02：なんで大切　|　为什么重要
EP02：ねえねえ　なんで　|　对呀 为什么
EP02：それはな　遊んでいるだけでは生きていけないからだ　|　因为啊 光靠玩可没法生存
EP02：変なの　|　真奇怪
EP02：エレーナたちは遊んでるだけで生きてるもん　|　我们光玩不也活得好好的
EP02：ねえ　追いかけっこしましょう　|　对了 我们来玩抓人游戏吧
EP02：私が逃げる番　|　你来抓我
EP02：こっちこっち　|　来呀来呀
EP02：待って待って　待ってよ　|　等等我 等等
EP02：エンリケ卿　|　恩里克卿
EP02：ほら　|　这边
EP02：貴兄は子供たちにどういう教育をしているのかね　|　你是怎么教育孩子的
EP02：待って　|　等等我
EP02：ほら　早く　|　这边 跑快点
EP02：教育？　|　教育？
EP02：まあ　子供は伸び伸びしてる方がいいよね　|　小孩子就应该自由自在的嘛
EP02：ラファエロが僕のおやつ食べた　|　拉斐尔吃了我的点心
EP02：違うよ　これ僕んだもん　|　才没有 这是我的
EP02：おい　どうした　ウル　|　怎么了 乌尔
EP02：何をそう嘆くのだ　|　怎么哭成这样
EP02：お前はこの偉大なる父の子なんだぞ　|　你可是我这般伟大父亲的孩子
EP02：最悪だ　|　糟透了
EP02：もう我慢ならん　|　受不了了
EP02：異議を申し立てる　|　我要提意见
EP02：そう大きな声を出すな　ゲルハルト　|　别那么大声 盖尔哈德
EP02：やっと寝てくれたんだぞ　|　孩子们好不容易才睡着
EP02：こんなこと　できるはずがなかったんだ　|　这事根本做不到
EP02：だから任務と育児の両立など　不可能だと言っていたのだ　|　所以我才说任务和育儿不可能兼顾
EP02：そもそも言い出したのはお前だぞ　|　这事可是你提出来的
EP02：確かに　僕ではあるが　|　确实是我
EP02：しかし…　|　但是…
EP02：まさか　自分にできないことを俺に強いようとしていたのか　|　难道你当时想让我做你自己都做不到的事吗
EP02：やっぱり　捜査本部を子供部屋に置くってのは無理があったんじゃない　|　果然 小孩房间不适合做调查总部啊
EP02：ならば　誰が任務中に子供たちの面倒を見るというのだ　|　那你说任务中谁来照顾孩子们好呢
EP02：屋敷の者に任せておけばいい　|　让宅邸的佣人来照顾就好
EP02：それでは真に両立とはいかんだろう　|　这哪里算两者兼顾了
EP02：こうしている間にも　事件の犠牲者は増え続けている　|　我们争论的这段时间 事件的牺牲者也在增多
EP02：各地に捜査員を派遣しているが　|　尽管向各地派遣了调查人员
EP02：有力な目撃情報は何一つない　|　却没收到任何确凿的目击情报
EP02：それじゃお手上げだ　|　那就束手无策了
EP02：犯人はよほど訓練されたものなのかも　|　这名犯人可能经过了充分训练
EP02：犯人ではない　犯人たちだ　|　犯人不止一名 他们有组织
EP02：致命傷はいずれも心臓へのひとつき　|　受害者均因心脏穿刺而死
EP02：一見　同一犯の犯行に見えるが　|　看上去似乎是同一犯人所为
EP02：それぞれに特徴がある　|　但手段细节各不相同
EP02：致命傷の他に　骨折　打撲　擦過傷　|　受害者除致命伤外还有骨折 挫伤 擦伤
EP02：まるで自己主張するかの如く　手口に個性が見える　|　仿佛犯人在有意识地通过手段彰显个性
EP02：個性？　|　个性？
EP02：犯人は４人…　|　犯人共四名…
EP02：いや　５人組といったところか　|　不 应该是五人组织
EP02：快楽殺人集団？　|　快乐杀人团体？
EP02：いや　それならあのカードを残す意味がない　|　不 这样留下的卡片就没意义了
EP02：カードに何か別の意図が　|　卡片还有别的意义吗
EP02：憶測に過ぎん　|　不过是臆测
EP02：「平等なる死がもたらされた　この者TRUMPにあらず」　|　「死亡平等地降临 此人并非TRUMP」
EP02：やっぱり犯人は手当たり次第に殺しまくって　TRUMPを見つけ出そうとしているのかな　|　果然犯人不过是随手杀人 企图找出TRUMP吧
EP02：いや　これはおそらくプロパガンダだ　|　不 这恐怕是一种宣传
EP02：プロパガンダ？　|　宣传？
EP02：自分たちの思想と目的を世間にアピールしているんだ　|　他们在向世间宣扬自身的思想与目的
EP02：何のために　|　为了什么
EP02：この事件　次の展開があるはずだ　|　这次事件 应该还会有后续
EP02：次の展開？　|　后续？
EP02：なんかドキドキするね　|　心跳加速了
EP02：不謹慎な物言いはやめたまえ　|　严肃点
EP02：お父様　|　父亲大人
EP02：ねえ　何のお話してるの　|　你们在聊什么呢
EP02：これはお早いお目覚めだ　|　这么快就醒了
EP02：どうした　アンジェリコ　|　怎么了 安杰利科
EP02：おしっこ行きたい　|　我想尿尿
EP02：漏れちゃう　|　快忍不住了
EP02：アンジェリコ　|　安杰利科
EP02：君はそんなことで我らの手を煩わせるつもりかね　|　这么点事你就来打扰我们吗
EP02：ほら　まだ小さい子供だしさ　|　算了 孩子还小
EP02：よし　アンジェリコ　|　好 安杰利科
EP02：俺が連れて行ってやろう　|　我来带你去吧
EP02：僕も行く　|　我也去
EP02：よし　|　好
EP02：こっちだ　|　这边
EP02：ゲルハルト・フラ　|　盖尔哈德·弗拉
EP02：任務と育児の両立　成し遂げてみせよ　|　来实现任务和育儿的兼顾吧
EP02：血と誇りにかけて　子らに父たちの偉大なる姿を見せてやろうではないか　|　赌上血统和自豪 让孩子们见识一下父亲们的伟大姿态
EP02：待て　ダリ　|　等一下 达利
EP02：ダリ　|　达利
EP02：お疲れのようですね　|　都累了吧
EP02：待ちたまえ　|　站住
EP02：アンジェリコは僕の息子だ　|　安杰利科是我的儿子
EP02：世話くらい自分でできる　手出しはよしてもらおうか　|　我自己也能照顾 你不用插手
EP02：アンジェリコ　さすがは君の父上だ　|　安杰利科 不愧是你的父亲
EP02：フラ家の当主たる者　こうでなくてはならん　|　作为弗拉家的当家 就该这样
EP02：ついてきたまえ　|　跟我来
EP02：手くらい引いてやりゃいいのに　|　牵着走多好
EP02：よしよし　|　乖 乖
EP02：ラファエロ　部屋に戻っていろ　|　拉斐尔 回房间去
EP02：よしよし　ミルクか　|　乖 乖 要牛奶吗
EP02：それともおむつかな　|　还是要换尿布
EP02：なんでまたゲルハルトはダリちゃんにこだわるんだろうね　|　为什么盖尔哈德这么执着于小达利呢
EP02：何が言いたい　|　你想说什么
EP02：ゲルハルトがダリちゃんを焚きつけなきゃ　俺たちが巻き込まれることもなかったのにさ　|　要是盖尔哈德不挑衅小达利 我们也不会被卷入了
EP02：デリコとフラ　両家はその地位と名誉を競い合ってきた　|　德里科和弗拉 两家一直在竞争地位和名誉
EP02：こんなことで　ダリ卿がキャリアを潰すのが許せなかったんだろう　|　他无法容忍达利卿因这种事荒废正业吧
EP02：あのさ　|　那个
EP02：ゲルハルトが言ってたあのことだけど　|　盖尔哈德说的那件事
EP02：フリーダを　|　弗里达
EP02：彼女を殺したのは　僕なんだからね　|　是我杀了她
EP02：フリーダって　ダリちゃんの奥さんだよね　|　弗里达是小达利的妻子吧
EP02：デリコ邸襲撃事件　|　德里科宅袭击事件
EP02：報告書によれば　フリーダは当時イニシアチブによって　|　根据报告 弗里达当时的主动权
EP02：襲撃者の支配下にあったとされている　|　处在袭击者的控制之下
